cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
blank-rename:optimized:small,0,1.05,0.59,0.34,88.0,3704,32162,0,451,384,8,0,0,2026-06-16T23:34:51
blank-rename:optimized:small,1,0.48,0.28,0.17,94.0,3812,16258,0,239,190,0,0,0,2026-06-16T23:34:52
blank-rename:optimized:small,2,0.49,0.29,0.16,93.0,3688,16210,0,231,148,0,0,0,2026-06-16T23:34:52
blank-rename:optimized:small,3,0.47,0.32,0.13,96.0,3704,16330,0,232,157,0,0,0,2026-06-16T23:34:53
blank-rename:optimized:small,4,0.48,0.29,0.16,94.0,3712,16224,0,235,162,0,0,0,2026-06-16T23:34:53
blank-rename:optimized:small,5,0.49,0.31,0.15,95.0,3716,16259,0,228,144,0,0,0,2026-06-16T23:34:54
blank-rename:optimized:small,6,0.48,0.28,0.17,94.0,3716,16158,0,249,181,0,0,0,2026-06-16T23:34:54
blank-rename:optimized:small,7,0.51,0.32,0.16,93.0,3716,16270,0,232,196,0,0,0,2026-06-16T23:34:55
blank-rename:optimized:small,8,0.48,0.32,0.14,97.0,3704,16259,0,233,154,0,0,0,2026-06-16T23:34:55
blank-rename:optimized:small,9,0.47,0.29,0.16,95.0,3740,16363,0,238,173,0,0,0,2026-06-16T23:34:56
blank-rename:optimized:small,10,0.48,0.32,0.14,97.0,3712,16226,0,220,168,0,0,0,2026-06-16T23:34:56
blank-rename:optimized:small,11,0.47,0.3,0.15,95.0,3704,16354,0,231,154,0,0,0,2026-06-16T23:34:57
blank-rename:optimized:small,12,0.48,0.33,0.13,95.0,3764,16358,0,235,174,0,0,0,2026-06-16T23:34:57
blank-rename:optimized:small,13,0.46,0.27,0.17,96.0,3716,16047,0,244,147,0,0,0,2026-06-16T23:34:58
blank-rename:optimized:small,14,0.49,0.27,0.18,92.0,3636,16360,0,249,159,0,0,0,2026-06-16T23:34:58
blank-rename:optimized:small,15,0.49,0.28,0.18,93.0,3760,16353,0,246,168,0,0,0,2026-06-16T23:34:59
blank-rename:optimized:small,16,0.53,0.33,0.17,96.0,3784,16262,0,246,185,0,0,0,2026-06-16T23:34:59
blank-rename:optimized:small,17,0.5,0.32,0.15,95.0,3760,16323,0,239,165,0,0,0,2026-06-16T23:35:00
blank-rename:optimized:small,18,0.5,0.31,0.15,93.0,3716,16157,0,234,211,0,0,0,2026-06-16T23:35:00
blank-rename:optimized:small,19,0.48,0.32,0.14,95.0,3804,16437,0,232,139,0,0,0,2026-06-16T23:35:01
blank-rename:optimized:medium,0,2.14,1.23,0.74,92.0,3712,63253,0,875,762,0,0,0,2026-06-16T23:35:03
blank-rename:optimized:medium,1,0.98,0.61,0.32,95.0,3664,32277,0,467,337,0,0,0,2026-06-16T23:35:04
blank-rename:optimized:medium,2,0.98,0.58,0.34,93.0,3740,32466,0,460,330,0,0,0,2026-06-16T23:35:05
blank-rename:optimized:medium,3,0.94,0.57,0.32,95.0,3760,32279,0,470,309,0,0,0,2026-06-16T23:35:06
blank-rename:optimized:medium,4,0.93,0.58,0.31,96.0,3704,32482,0,464,331,0,0,0,2026-06-16T23:35:07
blank-rename:optimized:medium,5,0.96,0.58,0.33,95.0,3644,32077,0,468,299,0,0,0,2026-06-16T23:35:08
blank-rename:optimized:medium,6,0.97,0.57,0.34,93.0,3716,31801,0,477,351,0,0,0,2026-06-16T23:35:09
blank-rename:optimized:medium,7,0.95,0.61,0.29,95.0,3708,32503,0,465,317,0,0,0,2026-06-16T23:35:10
blank-rename:optimized:medium,8,0.94,0.56,0.32,93.0,3708,32400,0,486,327,0,0,0,2026-06-16T23:35:11
blank-rename:optimized:medium,9,0.97,0.58,0.33,93.0,3636,32269,0,470,331,0,0,0,2026-06-16T23:35:12
blank-rename:optimized:medium,10,0.96,0.56,0.34,93.0,3712,31875,0,486,326,0,0,0,2026-06-16T23:35:13
blank-rename:optimized:medium,11,1.04,0.64,0.34,94.0,3716,31889,0,471,360,0,0,0,2026-06-16T23:35:14
blank-rename:optimized:medium,12,1.0,0.63,0.32,95.0,3800,32221,0,465,302,0,0,0,2026-06-16T23:35:15
blank-rename:optimized:medium,13,0.98,0.59,0.35,96.0,3688,32269,0,473,277,0,0,0,2026-06-16T23:35:16
blank-rename:optimized:medium,14,1.01,0.65,0.31,94.0,3636,32077,0,456,327,0,0,0,2026-06-16T23:35:17
blank-rename:optimized:medium,15,1.02,0.61,0.35,94.0,3700,32472,0,487,344,0,0,0,2026-06-16T23:35:18
blank-rename:optimized:medium,16,0.94,0.59,0.31,95.0,3708,32213,0,478,305,0,0,0,2026-06-16T23:35:19
blank-rename:optimized:medium,17,0.94,0.61,0.3,96.0,3764,32484,0,467,337,0,0,0,2026-06-16T23:35:20
blank-rename:optimized:medium,18,0.96,0.57,0.33,94.0,3764,32483,0,477,330,0,0,0,2026-06-16T23:35:20
blank-rename:optimized:medium,19,0.98,0.58,0.33,93.0,3740,32491,0,454,322,0,0,0,2026-06-16T23:35:21
blank-rename:optimized:small,0,1.05,0.64,0.29,89.0,3640,31957,0,450,379,0,0,0,2026-06-17T14:50:11
blank-rename:optimized:small,1,0.48,0.29,0.15,94.0,3708,16236,0,240,170,0,0,0,2026-06-17T14:50:11
blank-rename:optimized:small,2,0.48,0.31,0.13,93.0,3780,16265,0,244,164,0,0,0,2026-06-17T14:50:12
blank-rename:optimized:small,3,0.46,0.3,0.14,95.0,3636,16168,0,251,167,0,0,0,2026-06-17T14:50:12
blank-rename:optimized:small,4,0.48,0.31,0.13,93.0,3780,16337,0,223,148,0,0,0,2026-06-17T14:50:13
blank-rename:optimized:small,5,0.5,0.34,0.12,94.0,3800,16348,0,236,181,0,0,0,2026-06-17T14:50:13
blank-rename:optimized:small,6,0.52,0.32,0.15,92.0,3636,16141,0,237,156,0,0,0,2026-06-17T14:50:14
blank-rename:optimized:small,7,0.49,0.33,0.12,92.0,3812,16255,0,230,164,0,0,0,2026-06-17T14:50:14
blank-rename:optimized:small,8,0.52,0.32,0.15,89.0,3744,16427,0,225,171,0,0,0,2026-06-17T14:50:15
blank-rename:optimized:small,9,0.49,0.29,0.16,91.0,3784,16255,0,237,175,0,0,0,2026-06-17T14:50:15
blank-rename:optimized:small,10,0.49,0.32,0.14,94.0,3764,16350,0,245,172,0,0,0,2026-06-17T14:50:16
blank-rename:optimized:small,11,0.52,0.32,0.15,91.0,3784,16241,0,222,173,0,0,0,2026-06-17T14:50:16
blank-rename:optimized:small,12,0.48,0.31,0.14,95.0,3740,16364,0,227,148,0,0,0,2026-06-17T14:50:17
blank-rename:optimized:small,13,0.51,0.32,0.14,91.0,3644,16158,0,217,136,0,0,0,2026-06-17T14:50:17
blank-rename:optimized:small,14,0.52,0.29,0.18,92.0,3712,16268,0,234,218,0,0,0,2026-06-17T14:50:18
blank-rename:optimized:small,15,0.48,0.33,0.12,94.0,3800,16246,0,225,156,0,0,0,2026-06-17T14:50:18
blank-rename:optimized:small,16,0.5,0.32,0.13,90.0,3688,16259,0,226,157,0,0,0,2026-06-17T14:50:19
blank-rename:optimized:small,17,0.52,0.32,0.15,90.0,3784,16259,0,220,167,0,0,0,2026-06-17T14:50:19
blank-rename:optimized:small,18,0.51,0.34,0.12,92.0,3704,16433,0,237,157,0,0,0,2026-06-17T14:50:20
blank-rename:optimized:small,19,0.48,0.33,0.12,95.0,3756,16255,0,214,170,0,0,0,2026-06-17T14:50:20
blank-rename:optimized:medium,0,2.12,1.27,0.68,92.0,3760,63788,0,867,780,0,0,0,2026-06-17T14:50:23
blank-rename:optimized:medium,1,0.98,0.65,0.26,93.0,3808,32662,0,427,296,0,0,0,2026-06-17T14:50:23
blank-rename:optimized:medium,2,0.97,0.63,0.26,92.0,3716,31870,0,442,300,0,0,0,2026-06-17T14:50:24
blank-rename:optimized:medium,3,1.01,0.65,0.28,93.0,3740,32455,0,455,322,0,0,0,2026-06-17T14:50:25
blank-rename:optimized:medium,4,0.98,0.64,0.27,92.0,3688,32293,0,441,312,0,0,0,2026-06-17T14:50:26
blank-rename:optimized:medium,5,0.96,0.65,0.25,93.0,3688,32277,0,443,291,0,0,0,2026-06-17T14:50:27
blank-rename:optimized:medium,6,0.97,0.66,0.24,93.0,3736,32459,0,440,314,0,0,0,2026-06-17T14:50:28
blank-rename:optimized:medium,7,0.99,0.62,0.29,93.0,3740,32476,0,441,348,0,0,0,2026-06-17T14:50:29
blank-rename:optimized:medium,8,0.96,0.61,0.28,92.0,3756,32476,0,455,333,0,0,0,2026-06-17T14:50:30
blank-rename:optimized:medium,9,0.98,0.64,0.27,93.0,3784,32260,0,429,280,0,0,0,2026-06-17T14:50:31
blank-rename:optimized:medium,10,0.96,0.65,0.25,94.0,3756,32292,0,439,270,0,0,0,2026-06-17T14:50:32
blank-rename:optimized:medium,11,0.98,0.64,0.26,92.0,3740,32497,0,459,329,0,0,0,2026-06-17T14:50:33
blank-rename:optimized:medium,12,0.93,0.64,0.23,94.0,3588,32252,0,442,266,0,0,0,2026-06-17T14:50:34
blank-rename:optimized:medium,13,0.95,0.63,0.25,93.0,3716,32084,0,440,308,0,0,0,2026-06-17T14:50:35
blank-rename:optimized:medium,14,1.05,0.68,0.28,91.0,3764,32485,0,448,352,0,0,0,2026-06-17T14:50:36
blank-rename:optimized:medium,15,1.02,0.68,0.28,94.0,3740,32660,0,437,337,0,0,0,2026-06-17T14:50:37
blank-rename:optimized:medium,16,0.99,0.67,0.26,94.0,3712,32285,0,437,331,0,0,0,2026-06-17T14:50:38
blank-rename:optimized:medium,17,1.05,0.72,0.28,95.0,3712,32066,0,442,294,0,0,0,2026-06-17T14:50:39
blank-rename:optimized:medium,18,1.01,0.64,0.31,94.0,3712,32087,0,451,337,0,0,0,2026-06-17T14:50:40
blank-rename:optimized:medium,19,0.95,0.65,0.25,94.0,3760,32279,0,443,323,0,0,0,2026-06-17T14:50:41
