cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
blank-rename:original:small,0,2.36,1.34,0.86,93.0,3616,89888,0,1475,929,0,0,0,2026-06-16T23:33:42
blank-rename:original:small,1,1.27,0.66,0.48,90.0,3712,40941,0,624,628,0,0,0,2026-06-16T23:33:43
blank-rename:original:small,2,1.53,0.68,0.49,76.0,3684,41043,0,646,779,0,0,0,2026-06-16T23:33:45
blank-rename:original:small,3,1.73,0.7,0.44,66.0,3688,41312,0,647,825,0,0,0,2026-06-16T23:33:47
blank-rename:original:small,4,1.31,0.74,0.32,81.0,3740,40632,0,638,785,0,0,0,2026-06-16T23:33:48
blank-rename:original:small,5,1.17,0.65,0.44,92.0,3700,40687,0,627,524,0,0,0,2026-06-16T23:33:49
blank-rename:original:small,6,1.22,0.69,0.38,88.0,3784,41348,0,647,639,0,0,0,2026-06-16T23:33:50
blank-rename:original:small,7,1.14,0.67,0.4,93.0,3684,41232,0,634,476,0,0,0,2026-06-16T23:33:52
blank-rename:original:small,8,1.17,0.65,0.4,90.0,3744,41459,0,622,536,0,0,0,2026-06-16T23:33:53
blank-rename:original:small,9,1.09,0.66,0.36,93.0,3712,41203,0,622,434,0,0,0,2026-06-16T23:33:54
blank-rename:original:small,10,1.1,0.63,0.41,94.0,3684,41026,0,614,462,0,0,0,2026-06-16T23:33:55
blank-rename:original:small,11,1.16,0.66,0.38,90.0,3780,41121,0,624,512,0,0,0,2026-06-16T23:33:56
blank-rename:original:small,12,1.2,0.62,0.42,86.0,3700,40727,0,636,504,0,0,0,2026-06-16T23:33:57
blank-rename:original:small,13,1.1,0.64,0.38,93.0,3700,41020,0,626,488,0,0,0,2026-06-16T23:33:59
blank-rename:original:small,14,1.24,0.75,0.3,84.0,3764,41041,0,653,691,0,0,0,2026-06-16T23:34:00
blank-rename:original:small,15,1.19,0.7,0.36,90.0,3740,41205,0,626,537,0,0,0,2026-06-16T23:34:01
blank-rename:original:small,16,1.13,0.66,0.39,93.0,3708,41084,0,631,520,0,0,0,2026-06-16T23:34:02
blank-rename:original:small,17,1.08,0.66,0.38,97.0,3740,41226,0,622,440,0,0,0,2026-06-16T23:34:03
blank-rename:original:small,18,1.05,0.64,0.4,99.0,3764,41415,0,612,452,0,0,0,2026-06-16T23:34:04
blank-rename:original:small,19,1.05,0.62,0.4,97.0,3716,40926,0,617,425,0,0,0,2026-06-16T23:34:05
blank-rename:original:medium,0,4.54,2.61,1.75,96.0,3708,175853,0,2936,1683,0,0,0,2026-06-16T23:34:10
blank-rename:original:medium,1,2.1,1.26,0.81,98.0,3744,81770,0,1234,808,0,0,0,2026-06-16T23:34:12
blank-rename:original:medium,2,2.16,1.3,0.78,96.0,3784,81335,0,1223,885,0,0,0,2026-06-16T23:34:14
blank-rename:original:medium,3,2.02,1.28,0.75,100.0,3704,82158,0,1243,732,0,0,0,2026-06-16T23:34:16
blank-rename:original:medium,4,2.23,1.31,0.84,96.0,3740,82133,0,1237,870,0,0,0,2026-06-16T23:34:18
blank-rename:original:medium,5,2.33,1.42,0.86,98.0,3784,81786,0,1222,935,0,0,0,2026-06-16T23:34:21
blank-rename:original:medium,6,2.23,1.33,0.83,97.0,3684,81377,0,1245,935,0,0,0,2026-06-16T23:34:23
blank-rename:original:medium,7,2.06,1.28,0.76,98.0,3644,81609,0,1243,871,0,0,0,2026-06-16T23:34:25
blank-rename:original:medium,8,2.06,1.28,0.76,99.0,3644,81751,0,1250,851,0,0,0,2026-06-16T23:34:27
