cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
collatz:optimized:n27,0,0.01,0.0,0.0,83.0,3660,227,0,4,8,8,0,0,2026-06-16T23:37:31
collatz:optimized:n27,1,0.0,0.0,0.0,100.0,3628,230,0,3,7,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,2,0.01,0.0,0.0,72.0,3588,227,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,3,0.01,0.0,0.0,90.0,3724,230,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,4,0.01,0.0,0.0,81.0,3688,233,0,4,3,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,5,0.01,0.0,0.0,100.0,3588,228,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,6,0.0,0.0,0.0,100.0,3576,228,0,3,7,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,7,0.01,0.0,0.0,80.0,3656,231,0,3,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,8,0.0,0.0,0.0,88.0,3656,230,0,4,1,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,9,0.01,0.01,0.0,91.0,3628,227,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,10,0.01,0.0,0.0,100.0,3636,230,0,3,0,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,11,0.01,0.0,0.0,90.0,3756,230,0,4,1,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,12,0.0,0.0,0.0,100.0,3588,227,0,4,1,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,13,0.01,0.0,0.0,61.0,3684,230,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,14,0.01,0.0,0.0,100.0,3720,229,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,15,0.01,0.0,0.0,90.0,3680,231,0,4,5,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,16,0.0,0.0,0.0,88.0,3588,227,0,4,1,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,17,0.01,0.0,0.0,47.0,3644,232,0,4,8,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,18,0.01,0.0,0.0,90.0,3660,230,0,4,1,0,0,0,2026-06-16T23:37:31
collatz:optimized:n27,19,0.0,0.0,0.0,88.0,3568,231,0,4,1,0,0,0,2026-06-16T23:37:31
collatz:optimized:n97,0,0.0,0.0,0.0,100.0,3628,229,0,3,5,0,0,0,2026-06-16T23:37:31
collatz:optimized:n97,1,0.01,0.0,0.0,81.0,3636,229,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n97,2,0.01,0.0,0.0,90.0,3660,227,0,4,2,0,0,0,2026-06-16T23:37:31
collatz:optimized:n97,3,0.01,0.0,0.0,80.0,3748,232,0,4,3,0,0,0,2026-06-16T23:37:31
collatz:optimized:n97,4,0.01,0.0,0.0,90.0,3656,232,0,4,1,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,5,0.0,0.0,0.0,77.0,3580,228,0,4,2,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,6,0.01,0.0,0.0,80.0,3688,230,0,3,1,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,7,0.01,0.0,0.0,100.0,3720,230,0,4,2,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,8,0.01,0.0,0.0,80.0,3720,229,0,3,6,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,9,0.01,0.0,0.0,81.0,3752,232,0,4,4,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,10,0.01,0.0,0.0,80.0,3656,229,0,4,1,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,11,0.01,0.0,0.0,72.0,3628,230,0,3,4,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,12,0.01,0.0,0.0,81.0,3708,228,0,4,2,0,0,0,2026-06-16T23:37:32
collatz:optimized:n97,13,0.01,0.0,0.0,90.0,3656,227,0,4,5,0,0,0,2026-06-16T23:37:32
