cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
collatz:original:n27,0,0.02,0.01,0.0,60.0,3736,227,0,5,91,8,0,0,2026-06-16T23:37:29
collatz:original:n27,1,0.02,0.0,0.0,57.0,3688,224,0,4,9,0,0,0,2026-06-16T23:37:29
collatz:original:n27,2,0.01,0.0,0.0,84.0,3644,225,0,4,4,0,0,0,2026-06-16T23:37:29
collatz:original:n27,3,0.01,0.0,0.0,84.0,3736,227,0,4,3,0,0,0,2026-06-16T23:37:29
collatz:original:n27,4,0.01,0.01,0.0,78.0,3700,224,0,3,120,0,0,0,2026-06-16T23:37:29
collatz:original:n27,5,0.01,0.0,0.0,81.0,3728,225,0,3,19,0,0,0,2026-06-16T23:37:29
collatz:original:n27,6,0.02,0.0,0.0,36.0,3772,226,0,3,7,0,0,0,2026-06-16T23:37:29
collatz:original:n27,7,0.01,0.0,0.0,64.0,3736,229,0,3,120,0,0,0,2026-06-16T23:37:29
collatz:original:n27,8,0.01,0.0,0.0,72.0,3744,228,0,4,26,0,0,0,2026-06-16T23:37:29
collatz:original:n27,9,0.01,0.0,0.0,80.0,3736,229,0,4,117,0,0,0,2026-06-16T23:37:29
collatz:original:n27,10,0.0,0.0,0.0,100.0,3736,227,0,4,20,0,0,0,2026-06-16T23:37:29
collatz:original:n27,11,0.01,0.0,0.0,84.0,3772,226,0,4,7,0,0,0,2026-06-16T23:37:29
collatz:original:n27,12,0.01,0.0,0.0,100.0,3708,226,0,3,1,0,0,0,2026-06-16T23:37:29
collatz:original:n27,13,0.01,0.0,0.0,84.0,3740,229,0,4,0,0,0,0,2026-06-16T23:37:29
collatz:original:n27,14,0.01,0.0,0.0,83.0,3736,229,0,4,2,0,0,0,2026-06-16T23:37:29
collatz:original:n27,15,0.01,0.0,0.0,80.0,3740,227,0,4,4,0,0,0,2026-06-16T23:37:29
collatz:original:n27,16,0.01,0.0,0.0,78.0,3744,230,0,4,4,0,0,0,2026-06-16T23:37:29
collatz:original:n27,17,0.01,0.0,0.0,84.0,3704,227,0,4,44,0,0,0,2026-06-16T23:37:29
collatz:original:n27,18,0.01,0.0,0.0,83.0,3640,225,0,4,24,0,0,0,2026-06-16T23:37:29
