cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
encryptedpw:optimized:len10,0,0.05,0.03,0.01,84.0,10444,1964,1,16,13,88,0,0,2026-06-16T23:37:25
encryptedpw:optimized:len10,1,0.05,0.03,0.01,85.0,10452,1973,0,18,22,0,0,0,2026-06-16T23:37:25
encryptedpw:optimized:len10,2,0.04,0.02,0.02,104.0,10420,1973,0,17,15,0,0,0,2026-06-16T23:37:25
encryptedpw:optimized:len10,3,0.04,0.03,0.01,102.0,10264,1965,0,15,12,0,0,0,2026-06-16T23:37:25
encryptedpw:optimized:len10,4,0.05,0.03,0.01,96.0,10296,1970,0,18,23,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,5,0.06,0.04,0.02,98.0,10420,1970,0,18,19,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,6,0.04,0.03,0.01,106.0,10340,1968,0,18,12,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,7,0.04,0.03,0.01,102.0,10320,1980,0,18,16,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,8,0.05,0.03,0.01,90.0,10312,1967,0,16,26,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,9,0.04,0.02,0.01,102.0,10420,1968,0,17,14,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,10,0.04,0.03,0.01,104.0,10312,1973,0,17,14,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,11,0.04,0.02,0.01,105.0,10452,1972,0,16,8,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,12,0.04,0.02,0.01,93.0,10484,1969,0,17,13,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,13,0.04,0.03,0.01,104.0,10432,1973,0,17,13,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,14,0.04,0.03,0.01,102.0,10460,1973,0,17,19,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,15,0.04,0.03,0.01,106.0,10468,1970,0,18,12,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,16,0.04,0.03,0.01,102.0,10312,1969,0,17,14,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,17,0.04,0.02,0.02,102.0,10484,1975,0,18,10,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,18,0.06,0.04,0.02,104.0,10468,1965,0,18,18,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len10,19,0.06,0.03,0.02,94.0,10332,1966,0,17,24,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len100,0,0.06,0.03,0.02,88.0,10472,1979,0,17,19,0,0,0,2026-06-16T23:37:26
encryptedpw:optimized:len100,1,0.05,0.03,0.02,98.0,10312,1975,1,19,13,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,2,0.06,0.03,0.02,86.0,10368,1974,0,16,27,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,3,0.04,0.04,0.0,102.0,10444,1972,0,17,13,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,4,0.04,0.02,0.02,106.0,10236,1968,0,18,18,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,5,0.04,0.03,0.02,106.0,10468,1975,0,17,9,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,6,0.05,0.02,0.01,84.0,10312,1981,0,17,17,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,7,0.04,0.03,0.01,102.0,10428,1970,0,17,17,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,8,0.04,0.03,0.01,109.0,10296,1977,0,18,7,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,9,0.04,0.03,0.01,106.0,10344,1976,0,18,8,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,10,0.04,0.03,0.01,106.0,10312,1977,0,17,15,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,11,0.04,0.02,0.02,104.0,10444,1968,0,17,11,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,12,0.04,0.02,0.01,104.0,10296,1975,0,17,12,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,13,0.05,0.02,0.02,100.0,10344,1976,0,17,16,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,14,0.04,0.03,0.01,104.0,10296,1975,0,17,10,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,15,0.04,0.03,0.01,104.0,10420,1970,0,18,10,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,16,0.04,0.02,0.01,106.0,10312,1972,0,19,11,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,17,0.07,0.04,0.02,98.0,10472,1976,0,18,21,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,18,0.05,0.04,0.01,105.0,10304,1980,0,18,18,0,0,0,2026-06-16T23:37:27
encryptedpw:optimized:len100,19,0.06,0.04,0.02,107.0,10452,1974,0,18,17,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,0,0.09,0.04,0.01,60.0,10468,1978,0,18,25,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,1,0.04,0.03,0.01,100.0,10452,1980,0,17,12,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,2,0.04,0.03,0.01,106.0,10420,1981,0,17,9,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,3,0.04,0.03,0.01,95.0,10296,1990,0,18,17,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,4,0.05,0.03,0.01,92.0,10312,1983,0,17,29,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,5,0.04,0.03,0.01,104.0,10340,1979,0,17,18,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,6,0.04,0.02,0.01,109.0,10452,1978,0,17,12,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,7,0.04,0.02,0.01,95.0,10420,1978,0,16,16,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,8,0.04,0.03,0.01,104.0,10340,1988,0,17,20,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,9,0.04,0.02,0.02,108.0,10312,1982,0,17,10,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,10,0.05,0.03,0.01,92.0,10312,1983,0,16,21,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,11,0.05,0.02,0.01,82.0,10444,1975,0,19,14,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,12,0.04,0.03,0.01,102.0,10304,1982,0,16,14,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,13,0.04,0.02,0.01,107.0,10468,1981,0,18,9,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,14,0.04,0.03,0.01,107.0,10460,1977,0,17,8,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,15,0.06,0.03,0.02,88.0,10436,1989,0,17,20,0,0,0,2026-06-16T23:37:28
encryptedpw:optimized:len500,16,0.04,0.03,0.01,106.0,10452,1981,0,17,7,0,0,0,2026-06-16T23:37:29
encryptedpw:optimized:len500,17,0.04,0.03,0.01,106.0,10420,1984,0,15,7,0,0,0,2026-06-16T23:37:29
encryptedpw:optimized:len500,18,0.07,0.04,0.02,104.0,10312,1982,0,18,31,0,0,0,2026-06-16T23:37:29
encryptedpw:optimized:len500,19,0.05,0.04,0.01,91.0,10312,1985,0,15,22,0,0,0,2026-06-16T23:37:29
encryptedpw:optimized:len10,0,0.06,0.03,0.02,82.0,10240,1965,0,16,23,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,1,0.05,0.03,0.01,103.0,10420,1969,0,17,14,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,2,0.04,0.03,0.01,97.0,10420,1970,0,17,19,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,3,0.04,0.03,0.0,104.0,10344,1965,0,17,14,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,4,0.04,0.03,0.01,102.0,10444,1969,0,17,28,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,5,0.04,0.03,0.01,102.0,10420,1965,0,18,13,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,6,0.04,0.03,0.01,106.0,10296,1964,0,18,11,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,7,0.05,0.04,0.0,92.0,10420,1968,0,17,16,0,0,0,2026-06-17T14:52:46
encryptedpw:optimized:len10,8,0.05,0.03,0.02,98.0,10308,1961,0,17,24,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,9,0.05,0.03,0.01,104.0,10340,1972,0,17,12,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,10,0.05,0.03,0.01,89.0,10420,1964,0,17,15,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,11,0.05,0.03,0.01,90.0,10472,1966,0,17,26,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,12,0.05,0.04,0.01,100.0,10312,1972,0,17,14,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,13,0.05,0.04,0.01,100.0,10408,1966,0,18,13,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,14,0.06,0.04,0.01,85.0,10312,1974,0,18,24,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,15,0.04,0.03,0.01,104.0,10420,1972,0,17,15,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,16,0.05,0.03,0.01,100.0,10472,1977,0,18,17,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,17,0.05,0.03,0.01,105.0,10312,1968,1,17,14,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,18,0.05,0.02,0.01,86.0,10152,1970,0,16,24,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len10,19,0.04,0.03,0.01,102.0,10296,1968,0,17,13,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len100,0,0.05,0.03,0.01,94.0,10312,1974,0,16,25,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len100,1,0.07,0.03,0.02,78.0,10344,1973,0,18,20,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len100,2,0.04,0.03,0.01,104.0,10420,1976,0,17,6,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len100,3,0.04,0.03,0.01,106.0,10312,1977,0,17,10,0,0,0,2026-06-17T14:52:47
encryptedpw:optimized:len100,4,0.04,0.03,0.01,106.0,10296,1971,0,18,7,0,0,0,2026-06-17T14:52:48
encryptedpw:optimized:len100,5,0.06,0.03,0.02,90.0,10236,1974,0,16,27,0,0,0,2026-06-17T14:52:48
