cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
game_of_life:optimized:gens5_10x20,0,0.25,0.15,0.03,76.0,3752,237,0,5,734,8,0,0,2026-06-17T15:42:58
game_of_life:optimized:gens5_10x20,1,0.22,0.17,0.04,96.0,3656,236,0,3,24,0,0,0,2026-06-17T15:42:58
game_of_life:optimized:gens5_10x20,2,0.22,0.15,0.05,97.0,3628,234,0,3,10,0,0,0,2026-06-17T15:42:59
game_of_life:optimized:gens5_20x40,0,0.92,0.43,0.44,95.0,3600,246,0,4,552,0,0,0,2026-06-17T15:43:00
game_of_life:optimized:gens5_20x40,1,0.85,0.69,0.15,99.0,3628,246,0,4,19,0,0,0,2026-06-17T15:43:01
game_of_life:optimized:gens5_20x40,2,0.84,0.64,0.19,99.0,3632,246,0,3,14,0,0,0,2026-06-17T15:43:01
game_of_life:optimized:gens10_10x20,0,0.29,0.11,0.14,88.0,3708,238,0,7,2353,0,0,0,2026-06-17T15:43:02
game_of_life:optimized:gens10_10x20,1,0.42,0.29,0.11,96.0,3576,231,0,4,52,0,0,0,2026-06-17T15:43:02
game_of_life:optimized:gens10_10x20,2,0.56,0.04,0.49,94.0,3684,234,0,4,177,0,0,0,2026-06-17T15:43:03
game_of_life:optimized:gens10_20x40,0,2.0,0.16,1.8,98.0,3748,248,0,4,242,0,0,0,2026-06-17T15:43:05
game_of_life:optimized:gens10_20x40,1,2.0,0.18,1.79,98.0,3752,247,0,4,273,0,0,0,2026-06-17T15:43:07
game_of_life:optimized:gens10_20x40,2,1.17,0.53,0.53,91.0,3756,248,0,19,8428,0,0,0,2026-06-17T15:43:08
game_of_life:optimized:gens20_10x20,0,0.87,0.65,0.19,97.0,3680,238,0,4,66,0,0,0,2026-06-17T15:43:09
game_of_life:optimized:gens20_10x20,1,0.85,0.56,0.25,97.0,3640,234,0,4,134,0,0,0,2026-06-17T15:43:10
game_of_life:optimized:gens20_10x20,2,0.83,0.6,0.22,98.0,3632,234,0,3,18,0,0,0,2026-06-17T15:43:11
game_of_life:optimized:gens20_20x40,0,3.72,1.15,2.43,96.0,3652,246,0,4,1771,0,0,0,2026-06-17T15:43:14
game_of_life:optimized:gens20_20x40,1,2.15,1.36,0.58,90.0,3752,249,0,31,18063,0,0,0,2026-06-17T15:43:17
game_of_life:optimized:gens20_20x40,2,2.15,1.95,0.0,90.0,3764,246,0,30,18129,0,0,0,2026-06-17T15:43:17
