cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
game_of_life:original:gens10_10x20,0,2.91,0.56,2.3,98.0,3644,243889,0,6165,1636,0,0,0,2026-06-16T23:37:43
game_of_life:original:gens10_10x20,1,3.08,0.52,2.46,96.0,3688,246382,0,5962,1455,0,0,0,2026-06-16T23:37:46
game_of_life:original:gens10_10x20,2,2.96,0.55,2.34,97.0,3588,240380,0,6021,1499,0,0,0,2026-06-16T23:37:49
game_of_life:original:gens10_10x20,3,2.94,0.51,2.36,97.0,3576,244391,0,6026,1510,0,0,0,2026-06-16T23:37:52
game_of_life:original:gens10_10x20,4,3.04,0.61,2.29,95.0,3688,244381,0,6074,1691,0,0,0,2026-06-16T23:37:55
game_of_life:original:gens10_10x20,5,3.03,0.61,2.31,96.0,3588,240389,0,6097,1611,0,0,0,2026-06-16T23:37:58
game_of_life:original:gens10_10x20,6,3.03,0.55,2.35,95.0,3588,242378,0,6089,1681,0,0,0,2026-06-16T23:38:01
game_of_life:original:gens10_10x20,7,3.04,0.57,2.35,96.0,3628,245776,0,6048,1695,0,0,0,2026-06-16T23:38:04
game_of_life:original:gens10_10x20,8,2.92,0.56,2.3,98.0,3588,240390,0,6039,1493,0,0,0,2026-06-16T23:38:07
game_of_life:original:gens10_10x20,9,3.08,0.61,2.35,96.0,3684,247768,0,6116,1720,0,0,0,2026-06-16T23:38:10
game_of_life:original:gens10_10x20,10,2.96,0.62,2.25,96.0,3576,245784,0,6137,1755,0,0,0,2026-06-16T23:38:13
game_of_life:original:gens10_10x20,11,3.05,0.53,2.4,96.0,3636,242390,0,5976,1490,0,0,0,2026-06-16T23:38:16
game_of_life:original:gens10_10x20,12,2.91,0.56,2.26,97.0,3676,246393,0,6132,1621,0,0,0,2026-06-16T23:38:19
game_of_life:original:gens10_10x20,13,3.02,0.53,2.41,97.0,3624,245881,0,5967,1419,0,0,0,2026-06-16T23:38:22
game_of_life:original:gens10_10x20,14,2.96,0.61,2.27,97.0,3740,245996,0,6010,1440,0,0,0,2026-06-16T23:38:25
game_of_life:original:gens10_10x20,15,2.93,0.6,2.27,97.0,3636,241908,0,6115,1599,0,0,0,2026-06-16T23:38:28
game_of_life:original:gens10_10x20,16,3.04,0.57,2.33,95.0,3644,242390,0,6007,1542,0,0,0,2026-06-16T23:38:31
game_of_life:original:gens10_10x20,17,3.17,0.63,2.39,95.0,3636,245801,0,6068,1736,0,0,0,2026-06-16T23:38:34
game_of_life:original:gens10_10x20,18,3.23,0.6,2.47,95.0,3588,240387,0,6020,1648,0,0,0,2026-06-16T23:38:38
game_of_life:original:gens10_10x20,19,3.23,0.56,2.51,95.0,3632,246015,0,6099,1773,0,0,0,2026-06-16T23:38:41
game_of_life:original:gens10_20x40,0,12.94,2.47,9.9,95.0,3760,1103642,0,24494,7542,0,0,0,2026-06-16T23:38:54
game_of_life:original:gens10_20x40,1,12.76,2.22,9.9,94.0,3752,1103651,0,24245,6394,0,0,0,2026-06-16T23:39:07
game_of_life:original:gens10_20x40,2,12.84,2.28,9.88,94.0,3784,1109433,0,24449,6724,0,0,0,2026-06-16T23:39:19
game_of_life:original:gens10_20x40,3,13.12,2.35,9.96,93.0,3868,1111643,0,24547,6842,0,0,0,2026-06-16T23:39:33
game_of_life:original:gens10_20x40,4,13.46,2.28,10.41,94.0,3764,1095643,0,24154,6978,0,0,0,2026-06-16T23:39:46
game_of_life:original:gens10_20x40,5,13.81,2.24,10.52,92.0,3872,1118006,0,23701,6134,0,0,0,2026-06-16T23:40:00
game_of_life:original:gens10_20x40,6,13.32,2.01,10.61,94.0,3716,1087650,0,23542,5608,0,0,0,2026-06-16T23:40:13
game_of_life:original:gens10_20x40,7,13.41,2.0,10.64,94.0,3812,1110148,0,23405,5764,0,0,0,2026-06-16T23:40:27
game_of_life:original:gens10_20x40,8,13.19,2.19,10.33,94.0,3816,1109943,0,23899,6474,0,0,0,2026-06-16T23:40:40
game_of_life:original:gens10_20x40,9,13.41,2.27,10.46,94.0,3772,1103653,0,23778,5919,0,0,0,2026-06-16T23:40:53
game_of_life:original:gens10_20x40,10,13.57,2.22,10.64,94.0,3756,1103652,0,23550,5635,0,0,0,2026-06-16T23:41:07
game_of_life:original:gens10_20x40,11,13.09,2.12,10.37,95.0,3720,1094087,0,23697,6180,0,0,0,2026-06-16T23:41:20
game_of_life:original:gens10_20x40,12,13.4,2.12,10.54,94.0,3756,1103653,0,23781,6326,0,0,0,2026-06-16T23:41:33
game_of_life:original:gens10_20x40,13,13.01,2.14,10.28,95.0,3760,1095651,0,23862,6733,0,0,0,2026-06-16T23:41:46
game_of_life:original:gens10_20x40,14,13.68,1.99,10.99,94.0,3840,1110181,0,23117,6548,0,0,0,2026-06-16T23:42:00
game_of_life:original:gens10_20x40,15,12.77,1.84,10.53,96.0,3764,1110360,0,23049,5640,0,0,0,2026-06-16T23:42:13
game_of_life:original:gens10_20x40,16,12.75,1.7,10.51,95.0,3780,1087651,0,23039,5745,0,0,0,2026-06-16T23:42:26
game_of_life:original:gens10_20x40,17,12.36,2.38,9.38,95.0,3764,1101460,0,24279,7576,0,0,0,2026-06-16T23:42:38
game_of_life:original:gens10_20x40,18,13.01,1.72,10.76,95.0,3816,1111646,0,23433,6191,0,0,0,2026-06-16T23:42:51
game_of_life:original:gens10_20x40,19,13.45,1.9,10.9,95.0,3868,1111653,0,23171,5983,0,0,0,2026-06-16T23:43:04
game_of_life:original:gens50_10x20,0,16.18,2.36,13.09,95.0,3736,1253810,0,28876,7296,0,0,0,2026-06-16T23:43:21
game_of_life:original:gens50_10x20,1,15.72,2.43,12.65,95.0,3688,1245509,0,28904,7184,0,0,0,2026-06-16T23:43:36
game_of_life:original:gens50_10x20,2,15.46,2.33,12.62,96.0,3636,1225458,0,29289,7285,0,0,0,2026-06-16T23:43:52
game_of_life:original:gens50_10x20,3,15.94,2.32,12.97,95.0,3648,1225508,0,29524,7872,0,0,0,2026-06-16T23:44:08
game_of_life:original:gens50_10x20,4,16.21,2.45,13.15,96.0,3636,1233447,0,29615,7930,0,0,0,2026-06-16T23:44:24
game_of_life:original:gens50_10x20,5,15.74,2.25,13.0,96.0,3704,1235506,0,29938,8134,0,0,0,2026-06-16T23:44:40
game_of_life:original:gens50_10x20,6,15.47,2.27,12.81,97.0,3576,1243333,0,29668,6968,0,0,0,2026-06-16T23:44:55
game_of_life:original:gens50_10x20,7,15.91,2.34,13.17,97.0,3604,1245507,0,29520,7424,0,0,0,2026-06-16T23:45:11
game_of_life:original:gens50_10x20,8,16.12,2.51,13.22,97.0,3644,1235456,0,29278,7389,0,0,0,2026-06-16T23:45:27
game_of_life:original:gens50_10x20,9,15.14,2.54,12.38,98.0,3684,1245509,0,29392,6771,0,0,0,2026-06-16T23:45:42
game_of_life:original:gens50_10x20,10,14.76,2.6,12.0,98.0,3576,1225457,0,29667,7126,0,0,0,2026-06-16T23:45:57
game_of_life:original:gens50_10x20,11,15.33,2.32,12.82,98.0,3632,1245459,0,29169,6434,0,0,0,2026-06-16T23:46:13
game_of_life:original:gens50_10x20,12,15.9,2.53,13.13,98.0,3632,1235506,0,29401,7114,0,0,0,2026-06-16T23:46:28
game_of_life:original:gens50_10x20,13,15.35,2.48,12.61,98.0,3576,1224056,0,29375,6679,0,0,0,2026-06-16T23:46:44
game_of_life:original:gens50_10x20,14,15.35,2.43,12.73,98.0,3588,1215504,0,29036,6101,0,0,0,2026-06-16T23:46:59
game_of_life:original:gens50_10x20,15,14.98,2.37,12.49,99.0,3588,1223532,0,29099,6165,0,0,0,2026-06-16T23:47:14
game_of_life:original:gens50_10x20,16,15.87,2.53,13.03,98.0,3588,1215455,0,29139,6587,0,0,0,2026-06-16T23:47:30
game_of_life:original:gens50_10x20,17,15.32,2.33,12.83,98.0,3588,1215506,0,29278,6475,0,0,0,2026-06-16T23:47:45
game_of_life:original:gens50_10x20,18,15.44,2.32,12.82,98.0,3608,1233390,0,29586,7270,0,0,0,2026-06-16T23:48:01
game_of_life:original:gens50_10x20,19,15.49,2.29,12.9,98.0,3648,1235457,0,29393,7164,0,0,0,2026-06-16T23:48:16
game_of_life:original:gens5_10x20,0,1.64,0.45,1.08,93.0,3696,122628,0,2823,970,0,0,0,2026-06-17T15:39:42
game_of_life:original:gens5_10x20,1,1.7,0.41,1.16,92.0,3736,121631,0,2763,956,0,0,0,2026-06-17T15:39:43
game_of_life:original:gens5_10x20,2,2.02,0.51,1.18,83.0,3684,122282,0,2811,1257,0,0,0,2026-06-17T15:39:45
game_of_life:original:gens5_20x40,0,8.41,1.93,4.8,80.0,3840,536035,0,11923,5408,0,0,0,2026-06-17T15:39:54
game_of_life:original:gens5_20x40,1,9.3,2.33,3.69,64.0,3764,533599,0,12748,6453,0,0,0,2026-06-17T15:40:03
game_of_life:original:gens5_20x40,2,7.48,1.7,4.61,84.0,3776,536344,0,11483,4193,0,0,0,2026-06-17T15:40:11
game_of_life:original:gens10_10x20,0,3.31,0.71,2.34,92.0,3588,240022,0,5723,1778,0,0,0,2026-06-17T15:40:14
game_of_life:original:gens10_10x20,1,3.22,0.74,2.35,96.0,3640,245881,0,5687,1681,0,0,0,2026-06-17T15:40:17
game_of_life:original:gens10_10x20,2,3.42,0.81,2.37,93.0,3644,243917,0,5421,1628,0,0,0,2026-06-17T15:40:21
game_of_life:original:gens10_20x40,0,15.26,3.78,9.1,84.0,3776,1095642,0,23463,9522,0,0,0,2026-06-17T15:40:36
game_of_life:original:gens10_20x40,1,16.15,4.03,8.96,80.0,3836,1100432,0,23585,10560,0,0,0,2026-06-17T15:40:52
game_of_life:original:gens10_20x40,2,17.9,4.19,9.77,78.0,3716,1095652,0,23831,10708,0,0,0,2026-06-17T15:41:10
game_of_life:original:gens20_10x20,0,10.07,2.0,4.2,61.0,3732,490229,0,12012,5996,0,0,0,2026-06-17T15:41:20
game_of_life:original:gens20_10x20,1,8.05,1.85,4.18,74.0,3708,490227,0,12306,5276,0,0,0,2026-06-17T15:41:28
game_of_life:original:gens20_10x20,2,7.0,1.43,4.96,91.0,3740,493433,0,11252,3534,0,0,0,2026-06-17T15:41:35
game_of_life:original:gens20_20x40,0,28.26,5.53,20.61,92.0,3776,2230504,0,44423,12837,0,0,0,2026-06-17T15:42:03
game_of_life:original:gens20_20x40,1,27.21,5.38,20.16,93.0,3840,2265119,0,45325,13430,0,0,0,2026-06-17T15:42:31
