cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
logscout:lines1000,0,42.31,24.34,17.99,100.0,3684,1817863,0,29120,16868,16,144,1,2026-06-17T15:07:35
logscout:lines1000,1,42.5,24.27,18.19,99.0,3676,1826988,0,29034,16710,0,144,1,2026-06-17T15:08:18
logscout:lines1000,2,41.68,24.03,17.66,100.0,3656,1816709,0,28961,15616,0,144,1,2026-06-17T15:08:59
logscout:lines1000,3,41.74,24.09,17.71,100.0,3720,1801948,0,29050,15289,0,144,1,2026-06-17T15:09:41
logscout:lines1000,4,42.06,24.1,17.91,99.0,3708,1793835,0,28927,15696,0,144,1,2026-06-17T15:10:23
logscout:lines1000,5,40.65,23.73,17.78,102.0,3684,1811807,0,29026,14261,0,144,1,2026-06-17T15:11:04
logscout:lines1000,6,40.88,24.1,17.6,102.0,3708,1787850,0,29046,14749,0,144,1,2026-06-17T15:11:45
logscout:lines1000,7,41.91,24.09,18.06,100.0,3584,1807873,0,29142,15926,0,144,1,2026-06-17T15:12:27
logscout:lines1000,8,42.87,24.51,17.47,97.0,3656,1793938,0,28891,16893,0,144,1,2026-06-17T15:13:09
logscout:lines1000,9,42.27,24.48,17.62,99.0,3708,1800844,0,28955,16765,0,144,1,2026-06-17T15:13:52
logscout:lines1000,10,41.56,23.98,17.72,100.0,3704,1797005,0,28997,15440,0,144,1,2026-06-17T15:14:33
logscout:lines1000,11,42.27,24.57,17.64,99.0,3644,1795884,0,28929,15698,0,144,1,2026-06-17T15:15:16
logscout:lines1000,12,42.65,24.68,17.39,98.0,3636,1810929,0,29025,17465,0,144,1,2026-06-17T15:15:58
logscout:lines1000,13,49.39,26.58,17.72,89.0,3628,1804221,0,28666,19753,0,144,1,2026-06-17T15:16:48
logscout:lines1000,14,42.69,24.38,18.02,99.0,3628,1818057,0,29028,16539,0,144,1,2026-06-17T15:17:30
logscout:lines1000,15,42.49,24.3,17.91,99.0,3636,1802872,0,28980,17003,0,144,1,2026-06-17T15:18:13
logscout:lines1000,16,41.56,24.01,17.78,100.0,3628,1812818,0,28940,15447,0,144,1,2026-06-17T15:18:54
logscout:lines1000,17,41.97,24.11,17.89,100.0,3588,1809026,0,28896,15605,0,144,1,2026-06-17T15:19:36
logscout:lines1000,18,41.79,23.98,17.82,100.0,3732,1817874,0,28937,15817,0,144,1,2026-06-17T15:20:18
logscout:lines1000,19,41.44,24.24,17.16,99.0,3632,1810822,0,28760,16012,0,144,1,2026-06-17T15:21:00
logscout:lines1000,0,51.03,26.59,17.89,87.0,3744,1815652,0,28750,20503,0,144,1,2026-06-17T15:44:18
logscout:lines1000,1,42.02,24.34,17.52,99.0,3576,1799480,0,28988,16861,0,144,1,2026-06-17T15:45:00
logscout:lines1000,2,44.59,25.62,17.49,96.0,3684,1830439,0,28929,17530,0,144,1,2026-06-17T15:45:45
logscout:lines10000,0,434.68,246.89,178.35,97.0,3744,18417601,0,289173,172384,0,1432,1,2026-06-17T15:54:16
logscout:lines10000,1,407.72,239.92,175.87,101.0,3588,18477840,0,289677,151175,0,1424,1,2026-06-17T16:01:04
logscout:lines10000,2,599.53,337.24,242.41,96.0,3684,18408611,0,287967,205759,24,1472,1,2026-06-17T16:11:03
logscout_v2:lines10000,0,8.18,7.393,0.55,90.0,0,0,0,0,0,0,0,0,2026-06-17T15:43:10
logscout_v2:lines1000,0,0.734,0.447,0.264,97.0,0,0,0,0,0,0,0,0,2026-06-17T17:30:00
logscout_v2:lines10000,0,8.18,7.393,0.55,90.0,0,0,0,0,0,0,0,0,2026-06-17T17:31:00
