cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
mailformat:optimized:width40,0,0.01,0.0,0.0,40.0,3588,219,0,4,1,8,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,1,0.02,0.0,0.0,41.0,3620,222,0,4,5,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,2,0.0,0.0,0.0,100.0,3700,221,0,2,1,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,3,0.0,0.0,0.0,83.0,3628,220,0,2,2,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,4,0.01,0.0,0.0,81.0,3588,218,0,4,3,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,5,0.01,0.0,0.0,55.0,3752,221,0,4,8,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,6,0.01,0.0,0.0,80.0,3624,220,0,4,7,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,7,0.01,0.0,0.0,90.0,3656,222,0,4,1,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,8,0.01,0.0,0.0,53.0,3588,218,0,4,2,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,9,0.0,0.0,0.0,88.0,3636,218,0,4,1,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,10,0.01,0.0,0.0,80.0,3656,218,0,4,2,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,11,0.0,0.0,0.0,88.0,3588,220,0,4,1,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,12,0.01,0.0,0.0,90.0,3632,219,0,4,5,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,13,0.0,0.0,0.0,100.0,3684,222,0,2,1,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,14,0.01,0.0,0.0,63.0,3656,221,0,3,3,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,15,0.01,0.0,0.0,100.0,3628,219,0,4,3,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,16,0.01,0.0,0.0,80.0,3636,223,0,3,2,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,17,0.0,0.0,0.0,100.0,3576,219,0,3,2,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,18,0.01,0.0,0.0,90.0,3748,223,0,4,3,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width40,19,0.01,0.0,0.0,80.0,3656,220,0,3,4,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,0,0.0,0.0,0.0,87.0,3636,221,0,2,3,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,1,0.0,0.0,0.0,88.0,3588,217,0,4,4,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,2,0.01,0.0,0.0,75.0,3672,222,0,3,7,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,3,0.0,0.0,0.0,87.0,3656,222,0,3,3,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,4,0.01,0.0,0.0,80.0,3700,220,0,4,5,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,5,0.01,0.0,0.0,47.0,3696,217,0,4,5,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,6,0.01,0.0,0.0,90.0,3716,219,0,4,2,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,7,0.02,0.0,0.0,66.0,3576,219,0,4,18,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,8,0.01,0.0,0.0,90.0,3708,220,0,2,5,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,9,0.01,0.0,0.0,83.0,3588,216,0,4,3,0,0,0,2026-06-16T23:33:05
mailformat:optimized:width70,10,0.0,0.0,0.0,87.0,3656,219,0,4,1,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,11,0.0,0.0,0.0,88.0,3588,218,0,4,1,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,12,0.01,0.0,0.0,81.0,3588,219,0,4,5,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,13,0.0,0.0,0.0,77.0,3656,217,0,4,5,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,14,0.0,0.0,0.0,88.0,3584,216,0,4,1,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,15,0.01,0.0,0.0,53.0,3660,218,0,4,5,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,16,0.01,0.0,0.0,81.0,3632,221,0,4,7,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,17,0.01,0.0,0.0,100.0,3732,221,0,3,5,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,18,0.02,0.01,0.0,80.0,3636,220,0,4,16,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width70,19,0.01,0.0,0.0,75.0,3588,218,0,3,16,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width120,0,0.01,0.0,0.0,90.0,3720,218,0,4,1,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width120,1,0.0,0.0,0.0,100.0,3656,219,0,4,2,0,0,0,2026-06-16T23:33:06
mailformat:optimized:width120,2,0.01,0.01,0.0,100.0,3720,219,0,4,2,0,0,0,2026-06-16T23:33:06
