cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
mailformat:original:width40,0,0.05,0.0,0.0,17.0,3720,222,0,5,4,8,0,0,2026-06-16T23:33:04
mailformat:original:width40,1,0.0,0.0,0.0,87.0,3636,222,0,4,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,2,0.0,0.0,0.0,100.0,3628,221,0,2,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,3,0.01,0.0,0.0,81.0,3688,223,0,3,2,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,4,0.01,0.0,0.0,75.0,3752,224,0,4,4,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,5,0.0,0.0,0.0,88.0,3664,218,0,4,0,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,6,0.0,0.0,0.0,88.0,3688,224,0,4,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,7,0.0,0.0,0.0,88.0,3656,222,0,4,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,8,0.0,0.0,0.0,100.0,3632,221,0,4,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,9,0.01,0.0,0.0,66.0,3472,218,0,4,4,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,10,0.01,0.0,0.0,52.0,3420,219,0,4,9,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,11,0.01,0.0,0.0,81.0,3632,222,0,3,4,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,12,0.01,0.0,0.0,66.0,3660,220,0,4,2,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,13,0.0,0.0,0.0,88.0,3688,220,0,4,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,14,0.0,0.0,0.0,88.0,3632,222,0,3,0,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,15,0.01,0.0,0.0,80.0,3576,220,0,4,5,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,16,0.0,0.0,0.0,87.0,3684,222,0,4,2,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,17,0.0,0.0,0.0,87.0,3636,220,0,4,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,18,0.0,0.0,0.0,100.0,3680,221,0,4,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width40,19,0.0,0.0,0.0,88.0,3588,217,0,3,1,0,0,0,2026-06-16T23:33:04
mailformat:original:width70,0,0.0,0.0,0.0,100.0,3588,219,0,2,1,0,0,0,2026-06-16T23:33:04
