cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
makedict:optimized:small,0,0.02,0.02,0.0,106.0,3736,1035,0,17,23,8,0,0,2026-06-17T14:56:25
makedict:optimized:small,1,0.02,0.02,0.0,141.0,3656,1036,0,15,27,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,2,0.02,0.02,0.01,133.0,3736,1038,0,16,25,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,3,0.02,0.02,0.0,145.0,3628,1033,0,14,16,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,4,0.02,0.02,0.0,120.0,3584,1036,1,17,20,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,5,0.02,0.01,0.01,138.0,3744,1037,0,14,15,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,6,0.02,0.02,0.0,131.0,3660,1036,0,16,17,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,7,0.03,0.02,0.0,94.0,3636,1038,0,13,27,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,8,0.02,0.02,0.0,142.0,3588,1028,0,14,19,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,9,0.02,0.02,0.0,139.0,3636,1044,0,18,23,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,10,0.02,0.02,0.0,138.0,3740,1045,0,14,23,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,11,0.02,0.02,0.0,130.0,3588,1028,0,17,18,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,12,0.02,0.02,0.0,130.0,3708,1045,0,14,20,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,13,0.02,0.02,0.0,129.0,3676,1043,0,16,24,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,14,0.03,0.02,0.0,100.0,3700,1043,0,16,27,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,15,0.02,0.02,0.0,145.0,3736,1039,0,14,17,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,16,0.02,0.02,0.0,138.0,3588,1035,0,14,17,0,0,0,2026-06-17T14:56:25
makedict:optimized:small,17,0.02,0.02,0.0,141.0,3688,1039,0,17,22,0,0,0,2026-06-17T14:56:26
makedict:optimized:small,18,0.02,0.02,0.0,131.0,3656,1034,0,15,18,0,0,0,2026-06-17T14:56:26
makedict:optimized:small,19,0.02,0.01,0.01,120.0,3704,1042,0,17,18,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,0,0.02,0.01,0.01,120.0,3636,1053,0,14,17,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,1,0.03,0.02,0.0,93.0,3688,1060,0,11,13,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,2,0.02,0.02,0.0,136.0,3740,1055,0,19,27,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,3,0.02,0.02,0.0,136.0,3688,1060,0,16,21,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,4,0.02,0.02,0.0,130.0,3576,1055,0,17,23,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,5,0.02,0.02,0.0,133.0,3644,1055,0,19,25,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,6,0.02,0.02,0.0,140.0,3708,1058,0,17,18,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,7,0.02,0.02,0.0,115.0,3644,1056,0,16,20,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,8,0.02,0.02,0.0,107.0,3740,1055,0,16,24,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,9,0.01,0.02,0.0,147.0,3584,1047,0,14,16,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,10,0.02,0.02,0.0,138.0,3644,1052,0,13,17,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,11,0.03,0.01,0.01,88.0,3688,1055,0,13,24,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,12,0.02,0.02,0.01,134.0,3708,1044,0,18,23,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,13,0.02,0.02,0.0,140.0,3688,1060,0,17,22,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,14,0.03,0.02,0.01,97.0,3584,1049,0,16,29,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,15,0.02,0.02,0.01,128.0,3684,1051,0,16,25,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,16,0.02,0.02,0.01,139.0,3656,1054,0,14,18,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,17,0.02,0.02,0.01,136.0,3584,1048,0,12,14,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,18,0.02,0.02,0.0,137.0,3580,1052,0,17,21,0,0,0,2026-06-17T14:56:26
makedict:optimized:medium,19,0.02,0.02,0.01,142.0,3708,1058,0,15,19,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,0,0.03,0.02,0.0,96.0,3932,1199,0,35,30,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,1,0.03,0.02,0.0,91.0,3684,1201,0,11,13,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,2,0.02,0.03,0.0,133.0,3932,1202,0,18,23,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,3,0.02,0.02,0.01,130.0,3764,1205,0,15,20,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,4,0.02,0.02,0.01,129.0,3804,1198,0,18,21,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,5,0.02,0.02,0.0,129.0,3932,1203,0,17,24,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,6,0.02,0.02,0.01,125.0,3804,1204,0,16,23,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,7,0.02,0.02,0.0,113.0,3804,1204,0,15,27,0,0,0,2026-06-17T14:56:26
makedict:optimized:large,8,0.02,0.02,0.0,133.0,3932,1203,0,31,42,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,9,0.03,0.02,0.0,96.0,3932,1192,0,34,32,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,10,0.02,0.02,0.01,133.0,3868,1196,0,16,17,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,11,0.02,0.02,0.01,125.0,3804,1198,0,17,22,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,12,0.03,0.02,0.01,116.0,3804,1208,0,19,29,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,13,0.02,0.02,0.0,129.0,3804,1201,0,14,22,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,14,0.02,0.02,0.0,134.0,3932,1188,0,19,20,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,15,0.02,0.02,0.01,132.0,3804,1193,0,16,23,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,16,0.02,0.02,0.01,132.0,3764,1201,0,19,17,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,17,0.02,0.03,0.0,129.0,3932,1200,0,13,19,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,18,0.03,0.02,0.0,91.0,3932,1202,0,42,50,0,0,0,2026-06-17T14:56:27
makedict:optimized:large,19,0.02,0.02,0.0,129.0,3932,1202,0,18,22,0,0,0,2026-06-17T14:56:27
