cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
makedict:original:small,0,0.08,0.05,0.02,94.0,3636,2427,0,38,75,0,8,0,2026-06-17T14:56:21
makedict:original:small,1,0.05,0.05,0.01,127.0,3628,2436,0,31,34,0,8,0,2026-06-17T14:56:21
makedict:original:small,2,0.06,0.04,0.02,105.0,3580,2427,0,32,56,0,8,0,2026-06-17T14:56:21
makedict:original:small,3,0.05,0.04,0.02,125.0,3736,2438,0,33,33,0,8,0,2026-06-17T14:56:21
makedict:original:small,4,0.05,0.04,0.02,127.0,3720,2436,0,31,38,0,8,0,2026-06-17T14:56:21
makedict:original:small,5,0.06,0.05,0.01,104.0,3588,2416,0,37,46,0,8,0,2026-06-17T14:56:21
makedict:original:small,6,0.05,0.04,0.01,122.0,3684,2438,0,35,40,0,8,0,2026-06-17T14:56:22
makedict:original:small,7,0.05,0.04,0.01,129.0,3584,2441,0,30,37,0,8,0,2026-06-17T14:56:22
makedict:original:small,8,0.05,0.04,0.02,123.0,3452,2416,1,34,39,0,8,0,2026-06-17T14:56:22
makedict:original:small,9,0.06,0.04,0.02,106.0,3680,2434,0,32,40,0,8,0,2026-06-17T14:56:22
makedict:original:small,10,0.05,0.04,0.01,130.0,3632,2434,0,34,35,0,8,0,2026-06-17T14:56:22
makedict:original:small,11,0.05,0.04,0.01,125.0,3684,2444,0,33,35,0,8,0,2026-06-17T14:56:22
makedict:original:small,12,0.05,0.04,0.01,110.0,3644,2410,0,37,42,0,8,0,2026-06-17T14:56:22
makedict:original:small,13,0.04,0.05,0.01,134.0,3656,2433,0,30,28,0,8,0,2026-06-17T14:56:22
makedict:original:small,14,0.05,0.04,0.01,127.0,3708,2428,1,34,32,0,8,0,2026-06-17T14:56:22
makedict:original:small,15,0.06,0.04,0.01,104.0,3744,2434,0,32,40,0,8,0,2026-06-17T14:56:22
makedict:original:small,16,0.04,0.04,0.01,128.0,3632,2432,0,31,30,0,8,0,2026-06-17T14:56:22
makedict:original:small,17,0.05,0.04,0.02,123.0,3584,2411,0,31,25,0,8,0,2026-06-17T14:56:22
makedict:original:small,18,0.04,0.04,0.02,126.0,3676,2432,0,33,30,0,8,0,2026-06-17T14:56:22
makedict:original:small,19,0.07,0.04,0.02,95.0,3608,2436,0,35,46,0,8,0,2026-06-17T14:56:22
makedict:original:medium,0,0.06,0.04,0.03,105.0,3584,2458,0,31,49,0,16,0,2026-06-17T14:56:22
makedict:original:medium,1,0.05,0.04,0.01,126.0,3684,2471,0,30,29,0,16,0,2026-06-17T14:56:22
makedict:original:medium,2,0.06,0.04,0.02,109.0,3684,2464,0,31,38,0,16,0,2026-06-17T14:56:23
makedict:original:medium,3,0.05,0.05,0.01,130.0,3740,2459,0,33,34,0,16,0,2026-06-17T14:56:23
makedict:original:medium,4,0.05,0.04,0.02,126.0,3628,2476,0,34,43,0,16,0,2026-06-17T14:56:23
makedict:original:medium,5,0.06,0.05,0.01,108.0,3632,2461,0,35,46,0,16,0,2026-06-17T14:56:23
makedict:original:medium,6,0.04,0.04,0.01,134.0,3584,2465,0,31,32,0,16,0,2026-06-17T14:56:23
makedict:original:medium,7,0.04,0.04,0.01,134.0,3628,2461,1,35,30,0,16,0,2026-06-17T14:56:23
makedict:original:medium,8,0.05,0.04,0.02,130.0,3628,2463,0,34,34,0,16,0,2026-06-17T14:56:23
makedict:original:medium,9,0.07,0.04,0.02,98.0,3744,2459,1,35,54,0,16,0,2026-06-17T14:56:23
makedict:original:medium,10,0.05,0.05,0.01,127.0,3708,2459,0,33,40,0,16,0,2026-06-17T14:56:23
makedict:original:medium,11,0.05,0.04,0.02,128.0,3608,2465,0,35,24,0,16,0,2026-06-17T14:56:23
makedict:original:medium,12,0.06,0.04,0.01,103.0,3636,2462,0,33,36,0,16,0,2026-06-17T14:56:23
makedict:original:medium,13,0.05,0.04,0.01,124.0,3632,2449,0,34,34,0,16,0,2026-06-17T14:56:23
makedict:original:medium,14,0.05,0.05,0.01,127.0,3584,2467,0,34,38,0,16,0,2026-06-17T14:56:23
makedict:original:medium,15,0.05,0.04,0.01,123.0,3736,2467,0,32,30,0,16,0,2026-06-17T14:56:23
makedict:original:medium,16,0.05,0.05,0.01,121.0,3688,2465,0,36,43,0,16,0,2026-06-17T14:56:23
makedict:original:medium,17,0.05,0.04,0.02,126.0,3628,2458,0,34,31,0,16,0,2026-06-17T14:56:23
makedict:original:medium,18,0.05,0.04,0.02,126.0,3636,2462,0,35,30,0,16,0,2026-06-17T14:56:24
makedict:original:medium,19,0.07,0.05,0.01,101.0,3644,2447,0,34,50,0,16,0,2026-06-17T14:56:24
makedict:original:large,0,0.05,0.05,0.01,131.0,3764,2702,0,29,42,0,128,0,2026-06-17T14:56:24
makedict:original:large,1,0.05,0.04,0.02,122.0,3760,2701,1,41,34,0,128,0,2026-06-17T14:56:24
makedict:original:large,2,0.06,0.04,0.02,107.0,3932,2712,0,38,48,0,128,0,2026-06-17T14:56:24
makedict:original:large,3,0.05,0.04,0.02,125.0,3932,2705,0,34,31,0,128,0,2026-06-17T14:56:24
makedict:original:large,4,0.05,0.05,0.01,132.0,3932,2700,0,36,38,0,128,0,2026-06-17T14:56:24
makedict:original:large,5,0.05,0.05,0.02,128.0,3932,2695,0,32,35,0,128,0,2026-06-17T14:56:24
makedict:original:large,6,0.05,0.05,0.01,130.0,3932,2707,0,35,30,0,128,0,2026-06-17T14:56:24
makedict:original:large,7,0.05,0.04,0.02,126.0,3932,2713,0,37,32,0,128,0,2026-06-17T14:56:24
makedict:original:large,8,0.09,0.04,0.03,91.0,3804,2693,0,30,55,0,128,0,2026-06-17T14:56:24
makedict:original:large,9,0.05,0.04,0.02,130.0,3932,2705,0,37,34,0,128,0,2026-06-17T14:56:24
makedict:original:large,10,0.05,0.05,0.02,126.0,3932,2699,0,34,36,0,128,0,2026-06-17T14:56:24
makedict:original:large,11,0.06,0.05,0.02,113.0,3932,2711,0,54,54,0,128,0,2026-06-17T14:56:24
makedict:original:large,12,0.05,0.05,0.02,122.0,3932,2717,0,36,40,0,128,0,2026-06-17T14:56:24
makedict:original:large,13,0.05,0.04,0.02,124.0,3804,2712,0,37,33,0,128,0,2026-06-17T14:56:25
makedict:original:large,14,0.07,0.05,0.02,107.0,3932,2682,1,52,67,0,128,0,2026-06-17T14:56:25
makedict:original:large,15,0.05,0.04,0.02,125.0,3932,2679,0,36,38,0,128,0,2026-06-17T14:56:25
makedict:original:large,16,0.06,0.05,0.02,111.0,3676,2708,0,51,66,0,128,0,2026-06-17T14:56:25
makedict:original:large,17,0.07,0.04,0.02,108.0,3932,2711,0,50,61,0,128,0,2026-06-17T14:56:25
makedict:original:large,18,0.05,0.05,0.02,122.0,3804,2686,0,38,48,0,128,0,2026-06-17T14:56:25
makedict:original:large,19,0.05,0.05,0.02,132.0,3932,2689,0,51,40,0,128,0,2026-06-17T14:56:25
