cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
primes:optimized:n100,0,2.26,0.0,0.0,0.0,3760,227,0,4,6,8,0,0,2026-06-17T14:56:18
primes:optimized:n100,1,0.03,0.02,0.0,84.0,3712,225,0,4,6,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,2,0.02,0.01,0.0,90.0,3644,225,0,4,3,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,3,0.0,0.0,0.0,88.0,3712,226,0,4,0,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,4,0.01,0.0,0.0,90.0,3796,226,0,4,0,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,5,0.01,0.0,0.0,66.0,3788,228,0,4,9,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,6,0.01,0.0,0.0,91.0,3772,226,0,3,4,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,7,0.01,0.0,0.0,90.0,3768,226,0,4,2,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,8,0.01,0.0,0.0,90.0,3708,228,0,3,4,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,9,0.01,0.0,0.0,83.0,3644,227,0,4,0,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,10,0.01,0.0,0.0,100.0,3728,225,0,4,2,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,11,0.0,0.0,0.0,88.0,3824,229,0,4,1,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,12,0.01,0.0,0.0,80.0,3740,227,0,4,1,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,13,0.01,0.0,0.0,100.0,3708,229,0,4,0,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,14,0.01,0.0,0.0,81.0,3704,226,0,4,1,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,15,0.01,0.0,0.0,90.0,3696,227,0,4,1,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,16,0.0,0.0,0.0,100.0,3708,225,0,3,2,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,17,0.01,0.0,0.0,90.0,3828,230,0,4,3,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,18,0.01,0.01,0.0,87.0,3776,227,0,4,5,0,0,0,2026-06-17T14:56:18
primes:optimized:n100,19,0.01,0.0,0.0,76.0,3744,226,0,4,6,0,0,0,2026-06-17T14:56:18
primes:optimized:n500,0,0.01,0.0,0.0,84.0,3608,236,0,4,9,0,0,0,2026-06-17T14:56:18
primes:optimized:n500,1,0.01,0.01,0.0,88.0,3720,234,0,4,11,0,0,0,2026-06-17T14:56:18
primes:optimized:n500,2,0.01,0.0,0.0,87.0,3728,235,0,4,2,0,0,0,2026-06-17T14:56:18
primes:optimized:n500,3,0.01,0.01,0.0,88.0,3776,235,0,4,6,0,0,0,2026-06-17T14:56:18
primes:optimized:n500,4,0.01,0.01,0.0,92.0,3768,235,0,4,3,0,0,0,2026-06-17T14:56:18
primes:optimized:n500,5,0.01,0.01,0.0,81.0,3708,236,0,4,9,0,0,0,2026-06-17T14:56:18
primes:optimized:n500,6,0.01,0.01,0.0,88.0,3636,235,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,7,0.01,0.01,0.0,93.0,3720,236,0,4,5,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,8,0.01,0.01,0.0,86.0,3824,237,0,4,5,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,9,0.01,0.0,0.0,86.0,3716,234,0,4,2,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,10,0.01,0.01,0.0,86.0,3644,233,0,4,3,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,11,0.01,0.0,0.0,92.0,3768,236,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,12,0.01,0.01,0.0,92.0,3828,238,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,13,0.01,0.01,0.0,94.0,3716,236,0,4,2,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,14,0.02,0.0,0.0,76.0,3824,236,0,4,9,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,15,0.01,0.01,0.0,93.0,3736,235,0,3,8,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,16,0.01,0.01,0.0,88.0,3748,237,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,17,0.01,0.01,0.0,87.0,3632,235,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,18,0.02,0.01,0.0,85.0,3712,233,0,4,5,0,0,0,2026-06-17T14:56:19
primes:optimized:n500,19,0.01,0.01,0.0,88.0,3824,237,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,0,0.03,0.01,0.0,66.0,3736,245,0,3,11,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,1,0.02,0.01,0.0,87.0,3632,246,0,4,2,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,2,0.01,0.0,0.01,89.0,3636,245,0,3,5,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,3,0.02,0.01,0.0,90.0,3736,247,0,4,3,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,4,0.02,0.01,0.0,91.0,3728,243,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,5,0.02,0.01,0.01,87.0,3772,247,0,4,5,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,6,0.02,0.01,0.0,90.0,3644,246,0,4,4,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,7,0.01,0.01,0.0,89.0,3812,247,0,4,3,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,8,0.02,0.01,0.0,90.0,3740,248,0,4,3,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,9,0.02,0.01,0.0,90.0,3772,248,0,4,3,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,10,0.03,0.01,0.0,64.0,3744,246,0,3,6,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,11,0.01,0.01,0.0,94.0,3716,246,0,4,2,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,12,0.01,0.01,0.0,94.0,3708,246,0,4,2,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,13,0.01,0.01,0.0,94.0,3796,245,0,4,5,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,14,0.01,0.01,0.0,89.0,3772,244,0,4,2,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,15,0.02,0.01,0.0,64.0,3720,242,0,4,8,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,16,0.02,0.01,0.0,86.0,3728,244,0,3,7,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,17,0.02,0.01,0.0,95.0,3796,246,0,4,9,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,18,0.02,0.01,0.0,91.0,3768,246,0,4,6,0,0,0,2026-06-17T14:56:19
primes:optimized:n1000,19,0.02,0.01,0.0,95.0,3636,244,0,4,1,0,0,0,2026-06-17T14:56:19
primes:optimized:n5000,0,0.06,0.05,0.0,98.0,4092,325,0,3,14,0,0,0,2026-06-17T14:56:19
primes:optimized:n5000,1,0.07,0.05,0.01,95.0,4020,325,0,4,9,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,2,0.06,0.05,0.0,98.0,4020,325,0,4,14,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,3,0.06,0.04,0.01,98.0,4092,327,0,3,10,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,4,0.06,0.05,0.01,94.0,4100,328,0,4,5,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,5,0.07,0.05,0.01,97.0,4092,325,0,4,13,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,6,0.1,0.08,0.01,88.0,4072,329,0,3,13,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,7,0.06,0.04,0.01,94.0,4112,323,0,4,13,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,8,0.07,0.05,0.01,95.0,4092,324,0,4,5,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,9,0.07,0.05,0.01,93.0,4012,327,0,4,9,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,10,0.07,0.05,0.01,98.0,4124,327,0,3,5,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,11,0.06,0.04,0.02,96.0,4124,327,0,4,5,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,12,0.06,0.03,0.02,96.0,4112,324,0,4,6,0,0,0,2026-06-17T14:56:20
primes:optimized:n5000,13,0.06,0.02,0.04,96.0,4028,326,0,3,7,0,0,0,2026-06-17T14:56:21
primes:optimized:n5000,14,0.07,0.06,0.0,97.0,4100,328,0,3,13,0,0,0,2026-06-17T14:56:21
primes:optimized:n5000,15,0.08,0.05,0.01,85.0,3972,323,0,3,16,0,0,0,2026-06-17T14:56:21
primes:optimized:n5000,16,0.07,0.04,0.02,95.0,4160,328,0,4,6,0,0,0,2026-06-17T14:56:21
primes:optimized:n5000,17,0.09,0.05,0.02,88.0,4212,329,0,4,24,0,0,0,2026-06-17T14:56:21
primes:optimized:n5000,18,0.06,0.04,0.01,96.0,4092,328,0,4,7,0,0,0,2026-06-17T14:56:21
primes:optimized:n5000,19,0.1,0.08,0.01,95.0,4112,325,0,4,16,0,0,0,2026-06-17T14:56:21
