cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
primes:original:n100,0,0.17,0.03,0.08,71.0,3712,10842,0,325,118,8,0,0,2026-06-17T14:53:01
primes:original:n100,1,0.15,0.03,0.09,90.0,3716,10810,0,247,69,0,0,0,2026-06-17T14:53:01
primes:original:n100,2,0.13,0.03,0.08,90.0,3800,10841,0,305,87,0,0,0,2026-06-17T14:53:01
primes:original:n100,3,0.15,0.02,0.1,89.0,3760,11120,0,268,56,0,0,0,2026-06-17T14:53:01
primes:original:n100,4,0.14,0.03,0.09,91.0,3736,10920,0,303,80,0,0,0,2026-06-17T14:53:02
primes:original:n100,5,0.16,0.03,0.11,87.0,3760,10923,0,294,77,0,0,0,2026-06-17T14:53:02
primes:original:n100,6,0.15,0.03,0.1,86.0,3708,10813,0,283,70,0,0,0,2026-06-17T14:53:02
primes:original:n100,7,0.17,0.03,0.11,87.0,3744,10840,0,256,62,0,0,0,2026-06-17T14:53:02
primes:original:n100,8,0.15,0.04,0.09,86.0,3760,10839,0,267,73,0,0,0,2026-06-17T14:53:02
primes:original:n100,9,0.13,0.04,0.08,94.0,3744,10941,0,276,93,0,0,0,2026-06-17T14:53:02
primes:original:n100,10,0.13,0.03,0.08,91.0,3756,11037,0,315,91,0,0,0,2026-06-17T14:53:03
primes:original:n100,11,0.12,0.03,0.07,96.0,3716,10889,0,328,109,0,0,0,2026-06-17T14:53:03
primes:original:n100,12,0.14,0.03,0.09,91.0,3716,10837,0,286,62,0,0,0,2026-06-17T14:53:03
primes:original:n100,13,0.14,0.02,0.11,97.0,3736,10890,0,304,65,0,0,0,2026-06-17T14:53:03
primes:original:n100,14,0.11,0.03,0.07,96.0,3744,10984,0,346,135,0,0,0,2026-06-17T14:53:03
primes:original:n100,15,0.15,0.03,0.09,89.0,3816,10842,0,270,74,0,0,0,2026-06-17T14:53:03
primes:original:n100,16,0.14,0.02,0.11,96.0,3744,11039,0,293,64,0,0,0,2026-06-17T14:53:03
primes:original:n100,17,0.14,0.02,0.1,91.0,3816,11041,0,288,66,0,0,0,2026-06-17T14:53:04
primes:original:n100,18,0.13,0.03,0.08,86.0,3716,10689,0,306,99,0,0,0,2026-06-17T14:53:04
primes:original:n100,19,0.13,0.02,0.1,97.0,3816,10842,0,294,60,0,0,0,2026-06-17T14:53:04
primes:original:n500,0,0.63,0.18,0.41,94.0,3712,56571,0,1630,567,0,0,0,2026-06-17T14:53:04
primes:original:n500,1,0.83,0.19,0.56,91.0,3756,57314,0,1496,501,0,0,0,2026-06-17T14:53:05
primes:original:n500,2,0.72,0.14,0.52,92.0,3744,57814,0,1431,316,0,0,0,2026-06-17T14:53:06
primes:original:n500,3,0.67,0.14,0.48,93.0,3752,56562,0,1500,377,0,0,0,2026-06-17T14:53:07
primes:original:n500,4,0.67,0.17,0.45,93.0,3744,57561,0,1494,431,0,0,0,2026-06-17T14:53:07
primes:original:n500,5,0.65,0.16,0.42,90.0,3632,56312,0,1520,410,0,0,0,2026-06-17T14:53:08
primes:original:n500,6,0.62,0.11,0.49,97.0,3764,56314,0,1519,402,0,0,0,2026-06-17T14:53:09
primes:original:n500,7,0.64,0.11,0.51,96.0,3644,56313,0,1512,369,0,0,0,2026-06-17T14:53:09
primes:original:n500,8,0.64,0.13,0.48,97.0,3716,56313,0,1567,436,0,0,0,2026-06-17T14:53:10
primes:original:n500,9,0.64,0.14,0.42,89.0,3784,56815,0,1624,526,0,0,0,2026-06-17T14:53:11
primes:original:n500,10,0.66,0.13,0.49,95.0,3740,57809,0,1428,340,0,0,0,2026-06-17T14:53:11
primes:original:n500,11,1.0,0.22,0.46,68.0,3636,57584,0,1553,716,0,0,0,2026-06-17T14:53:12
primes:original:n500,12,0.83,0.26,0.28,65.0,3760,57439,0,1728,928,0,0,0,2026-06-17T14:53:13
primes:original:n500,13,0.86,0.18,0.48,77.0,3716,56115,0,1527,602,0,0,0,2026-06-17T14:53:14
primes:original:n500,14,0.75,0.16,0.48,86.0,3704,56813,0,1489,490,0,0,0,2026-06-17T14:53:15
primes:original:n500,15,1.01,0.21,0.47,68.0,3800,57314,0,1502,649,0,0,0,2026-06-17T14:53:16
primes:original:n500,16,0.74,0.19,0.48,90.0,3760,57196,0,1336,342,0,0,0,2026-06-17T14:53:17
primes:original:n500,17,0.92,0.23,0.45,74.0,3760,56813,0,1486,691,0,0,0,2026-06-17T14:53:18
primes:original:n500,18,0.73,0.2,0.46,91.0,3704,56812,0,1334,414,0,0,0,2026-06-17T14:53:18
primes:original:n500,19,0.72,0.21,0.46,93.0,3736,57704,0,1243,312,0,0,0,2026-06-17T14:53:19
primes:original:n1000,0,1.38,0.26,1.02,93.0,3844,121790,0,3088,877,0,0,0,2026-06-17T14:53:20
primes:original:n1000,1,1.62,0.36,0.99,83.0,3784,122423,0,2867,1141,0,0,0,2026-06-17T14:53:22
primes:original:n1000,2,2.01,0.44,0.73,58.0,3716,120789,0,3307,1540,0,0,0,2026-06-17T14:53:24
primes:original:n1000,3,1.39,0.37,0.78,83.0,3816,123790,0,3284,1396,0,0,0,2026-06-17T14:53:25
primes:original:n1000,4,1.36,0.29,0.98,94.0,3768,121788,0,3070,849,0,0,0,2026-06-17T14:53:27
primes:original:n1000,5,1.43,0.26,1.05,91.0,3636,121791,0,2985,812,0,0,0,2026-06-17T14:53:28
primes:original:n1000,6,1.35,0.3,0.98,94.0,3736,124471,0,2976,850,0,0,0,2026-06-17T14:53:30
primes:original:n1000,7,1.37,0.25,1.03,94.0,3784,122791,0,2991,852,0,0,0,2026-06-17T14:53:31
primes:original:n1000,8,1.4,0.28,1.04,94.0,3716,120790,0,2858,746,0,0,0,2026-06-17T14:53:32
primes:original:n1000,9,1.38,0.28,1.02,94.0,3940,122794,0,2966,773,0,0,0,2026-06-17T14:53:34
primes:original:n1000,10,1.41,0.24,1.1,95.0,3684,120789,0,2979,723,0,0,0,2026-06-17T14:53:35
primes:original:n1000,11,1.42,0.22,1.12,94.0,3784,122791,0,2935,744,0,0,0,2026-06-17T14:53:37
primes:original:n1000,12,1.42,0.29,1.05,94.0,3940,123791,0,2832,726,0,0,0,2026-06-17T14:53:38
primes:original:n1000,13,1.4,0.26,1.06,94.0,3756,123791,0,2858,752,0,0,0,2026-06-17T14:53:39
primes:original:n1000,14,1.39,0.22,1.1,95.0,3808,124789,0,3018,758,0,0,0,2026-06-17T14:53:41
primes:original:n1000,15,1.38,0.3,1.02,95.0,3812,123792,0,2858,738,0,0,0,2026-06-17T14:53:42
primes:original:n1000,16,1.48,0.28,1.1,92.0,3644,124591,0,2784,720,0,0,0,2026-06-17T14:53:44
primes:original:n1000,17,1.39,0.33,1.0,95.0,3760,123791,0,2793,744,0,0,0,2026-06-17T14:53:45
primes:original:n1000,18,1.41,0.22,1.13,95.0,3740,125539,0,3006,752,0,0,0,2026-06-17T14:53:47
primes:original:n1000,19,1.4,0.24,1.09,94.0,3740,123791,0,2910,657,0,0,0,2026-06-17T14:53:48
primes:original:n5000,0,7.35,1.56,5.36,94.0,3840,664052,0,14416,4143,0,0,0,2026-06-17T14:53:55
primes:original:n5000,1,7.35,1.57,5.44,95.0,3836,677677,0,14318,3993,0,0,0,2026-06-17T14:54:03
primes:original:n5000,2,7.93,1.71,5.45,90.0,3764,664053,0,14336,4279,0,0,0,2026-06-17T14:54:11
primes:original:n5000,3,7.17,1.49,5.38,95.0,3912,667849,0,14299,3409,0,0,0,2026-06-17T14:54:18
primes:original:n5000,4,7.09,1.44,5.4,96.0,3940,669054,0,14191,3635,0,0,0,2026-06-17T14:54:25
primes:original:n5000,5,7.39,1.4,5.63,95.0,3812,674053,0,14144,3609,0,0,0,2026-06-17T14:54:32
primes:original:n5000,6,7.32,1.53,5.47,95.0,3812,677859,0,14484,3821,0,0,0,2026-06-17T14:54:40
primes:original:n5000,7,7.21,1.47,5.45,96.0,3832,664051,0,14034,3711,0,0,0,2026-06-17T14:54:47
primes:original:n5000,8,7.27,1.36,5.61,95.0,3716,664051,0,14424,3672,0,0,0,2026-06-17T14:54:54
primes:original:n5000,9,7.73,1.61,5.73,95.0,3760,669052,0,14032,3976,0,0,0,2026-06-17T14:55:02
primes:original:n5000,10,7.4,1.47,5.62,95.0,3744,674052,0,14194,3692,0,0,0,2026-06-17T14:55:09
primes:original:n5000,11,7.57,1.72,5.39,93.0,3888,682620,0,14066,3990,0,0,0,2026-06-17T14:55:17
primes:original:n5000,12,7.37,1.41,5.62,95.0,3940,674053,0,14167,3573,0,0,0,2026-06-17T14:55:24
primes:original:n5000,13,7.42,1.44,5.63,95.0,3868,674053,0,14080,3683,0,0,0,2026-06-17T14:55:32
primes:original:n5000,14,7.28,1.49,5.46,95.0,3820,669052,0,14152,3626,0,0,0,2026-06-17T14:55:39
primes:original:n5000,15,7.19,1.35,5.57,96.0,3764,669053,0,14516,3683,0,0,0,2026-06-17T14:55:46
primes:original:n5000,16,7.25,1.56,5.41,96.0,3904,667850,0,14054,3727,0,0,0,2026-06-17T14:55:54
primes:original:n5000,17,7.16,1.44,5.44,96.0,3716,669048,0,14249,3672,0,0,0,2026-06-17T14:56:01
primes:original:n5000,18,7.52,1.62,5.57,95.0,3868,679051,0,13903,3729,0,0,0,2026-06-17T14:56:08
primes:original:n5000,19,7.42,1.66,5.31,94.0,3836,667659,0,14495,4178,0,0,0,2026-06-17T14:56:16
