cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
rn:optimized:small,0,3.6,1.08,0.68,48.0,3736,62881,0,1066,1737,8,0,0,2026-06-16T23:33:30
rn:optimized:small,1,0.0,0.0,0.0,100.0,3684,223,0,4,5,0,0,0,2026-06-16T23:33:30
rn:optimized:small,2,0.0,0.0,0.0,88.0,3756,224,0,4,7,0,0,0,2026-06-16T23:33:30
rn:optimized:small,3,0.0,0.0,0.0,100.0,3636,223,0,3,7,0,0,0,2026-06-16T23:33:30
rn:optimized:small,4,0.01,0.0,0.0,66.0,3588,220,0,4,3,0,0,0,2026-06-16T23:33:30
rn:optimized:small,5,0.01,0.0,0.0,75.0,3588,218,0,4,7,0,0,0,2026-06-16T23:33:30
rn:optimized:small,6,0.01,0.0,0.0,84.0,3588,222,0,3,7,0,0,0,2026-06-16T23:33:30
rn:optimized:small,7,0.0,0.0,0.0,88.0,3748,222,0,4,1,0,0,0,2026-06-16T23:33:30
rn:optimized:small,8,0.0,0.0,0.0,87.0,3656,222,0,4,1,0,0,0,2026-06-16T23:33:30
rn:optimized:small,9,0.0,0.0,0.0,88.0,3752,224,0,4,3,0,0,0,2026-06-16T23:33:30
rn:optimized:small,10,0.01,0.0,0.0,80.0,3660,222,0,4,5,0,0,0,2026-06-16T23:33:30
rn:optimized:small,11,0.01,0.0,0.0,75.0,3752,224,0,4,5,0,0,0,2026-06-16T23:33:30
rn:optimized:small,12,0.0,0.0,0.0,88.0,3752,224,0,4,2,0,0,0,2026-06-16T23:33:30
rn:optimized:small,13,0.0,0.0,0.0,100.0,3576,222,0,3,3,0,0,0,2026-06-16T23:33:30
rn:optimized:small,14,0.01,0.0,0.0,69.0,3628,223,0,4,8,0,0,0,2026-06-16T23:33:30
rn:optimized:small,15,0.01,0.0,0.0,90.0,3656,221,0,4,2,0,0,0,2026-06-16T23:33:30
rn:optimized:small,16,0.0,0.0,0.0,88.0,3636,221,0,4,1,0,0,0,2026-06-16T23:33:30
rn:optimized:small,17,0.01,0.0,0.0,70.0,3748,222,0,4,2,0,0,0,2026-06-16T23:33:30
rn:optimized:small,18,0.0,0.0,0.0,77.0,3748,225,0,4,1,0,0,0,2026-06-16T23:33:30
rn:optimized:small,19,0.03,0.0,0.0,29.0,3576,220,0,3,6,0,0,0,2026-06-16T23:33:30
rn:optimized:medium,0,5.2,2.14,1.26,65.0,3772,122354,0,2115,2871,0,0,0,2026-06-16T23:33:35
rn:optimized:medium,1,0.01,0.0,0.0,90.0,3660,224,0,4,4,0,0,0,2026-06-16T23:33:35
rn:optimized:medium,2,0.02,0.0,0.0,27.0,3588,223,0,4,8,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,3,0.02,0.0,0.0,34.0,3688,225,0,4,10,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,4,0.01,0.0,0.0,38.0,3660,222,0,4,5,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,5,0.02,0.0,0.0,33.0,3684,225,0,3,10,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,6,0.0,0.0,0.0,77.0,3584,222,0,3,9,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,7,0.0,0.0,0.0,100.0,3756,225,0,3,2,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,8,0.0,0.0,0.0,100.0,3584,220,0,3,2,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,9,0.0,0.0,0.0,83.0,3548,223,0,3,2,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,10,0.01,0.0,0.0,31.0,3636,222,0,3,3,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,11,0.01,0.0,0.0,57.0,3656,222,0,3,13,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,12,0.0,0.0,0.0,100.0,3656,224,0,3,3,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,13,0.04,0.0,0.0,21.0,3636,223,0,4,8,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,14,0.01,0.0,0.0,92.0,3744,225,0,4,4,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,15,0.01,0.0,0.0,57.0,3732,225,0,3,7,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,16,0.02,0.0,0.0,50.0,3588,223,0,3,7,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,17,0.03,0.0,0.0,30.0,3720,223,0,4,12,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,18,0.01,0.0,0.0,69.0,3588,222,0,3,10,0,0,0,2026-06-16T23:33:36
rn:optimized:medium,19,0.01,0.0,0.0,75.0,3636,225,0,4,8,0,0,0,2026-06-16T23:33:36
rn:optimized:large,0,3.45,2.03,1.12,91.0,3836,123841,0,1953,1425,0,0,0,2026-06-16T23:33:39
rn:optimized:large,1,0.01,0.0,0.0,78.0,3624,223,0,4,7,0,0,0,2026-06-16T23:33:39
rn:optimized:large,2,0.01,0.0,0.0,58.0,3588,223,0,3,5,0,0,0,2026-06-16T23:33:39
rn:optimized:large,3,0.01,0.0,0.0,72.0,3720,222,0,4,6,0,0,0,2026-06-16T23:33:39
rn:optimized:large,4,0.01,0.0,0.0,42.0,3584,222,0,4,3,0,0,0,2026-06-16T23:33:40
rn:optimized:large,5,0.01,0.0,0.0,80.0,3748,225,0,4,1,0,0,0,2026-06-16T23:33:40
rn:optimized:large,6,0.01,0.0,0.0,63.0,3636,225,0,4,4,0,0,0,2026-06-16T23:33:40
rn:optimized:large,7,0.0,0.0,0.0,100.0,3588,223,0,4,0,0,0,0,2026-06-16T23:33:40
rn:optimized:large,8,0.0,0.0,0.0,87.0,3644,224,0,4,1,0,0,0,2026-06-16T23:33:40
rn:optimized:large,9,0.0,0.0,0.0,100.0,3636,225,0,4,1,0,0,0,2026-06-16T23:33:40
rn:optimized:large,10,0.0,0.0,0.0,88.0,3632,224,0,4,3,0,0,0,2026-06-16T23:33:40
rn:optimized:large,11,0.0,0.0,0.0,88.0,3756,224,0,4,1,0,0,0,2026-06-16T23:33:40
rn:optimized:large,12,0.01,0.0,0.0,84.0,3744,227,0,3,6,0,0,0,2026-06-16T23:33:40
rn:optimized:large,13,0.0,0.0,0.0,77.0,3752,226,0,4,2,0,0,0,2026-06-16T23:33:40
rn:optimized:large,14,0.01,0.0,0.0,80.0,3632,223,0,4,3,0,0,0,2026-06-16T23:33:40
rn:optimized:large,15,0.0,0.0,0.0,88.0,3652,222,0,4,0,0,0,0,2026-06-16T23:33:40
rn:optimized:large,16,0.01,0.0,0.0,80.0,3632,223,0,4,3,0,0,0,2026-06-16T23:33:40
rn:optimized:large,17,0.01,0.0,0.0,53.0,3588,219,0,3,7,0,0,0,2026-06-16T23:33:40
rn:optimized:large,18,0.0,0.0,0.0,88.0,3684,226,0,4,1,0,0,0,2026-06-16T23:33:40
rn:optimized:large,19,0.01,0.0,0.0,90.0,3636,224,0,4,1,0,0,0,2026-06-16T23:33:40
rn:optimized:small,0,1.67,0.99,0.54,91.0,3588,62272,0,927,671,0,0,0,2026-06-17T14:48:53
rn:optimized:small,1,0.0,0.0,0.0,88.0,3588,219,0,4,4,0,0,0,2026-06-17T14:48:53
rn:optimized:small,2,0.0,0.0,0.0,77.0,3632,223,0,4,1,0,0,0,2026-06-17T14:48:53
rn:optimized:small,3,0.0,0.0,0.0,88.0,3576,223,0,4,1,0,0,0,2026-06-17T14:48:53
rn:optimized:small,4,0.0,0.0,0.0,88.0,3576,222,0,4,2,0,0,0,2026-06-17T14:48:53
rn:optimized:small,5,0.0,0.0,0.0,87.0,3628,224,0,4,2,0,0,0,2026-06-17T14:48:53
rn:optimized:small,6,0.0,0.0,0.0,88.0,3688,224,0,3,1,0,0,0,2026-06-17T14:48:53
rn:optimized:small,7,0.0,0.0,0.0,100.0,3656,222,0,3,2,0,0,0,2026-06-17T14:48:53
rn:optimized:small,8,0.0,0.0,0.0,100.0,3636,224,0,4,2,0,0,0,2026-06-17T14:48:53
rn:optimized:small,9,0.0,0.0,0.0,77.0,3584,219,0,3,2,0,0,0,2026-06-17T14:48:53
rn:optimized:small,10,0.0,0.0,0.0,77.0,3688,225,0,4,1,0,0,0,2026-06-17T14:48:54
rn:optimized:small,11,0.01,0.0,0.0,76.0,3632,223,0,4,3,0,0,0,2026-06-17T14:48:54
rn:optimized:small,12,0.0,0.0,0.0,100.0,3632,221,0,3,2,0,0,0,2026-06-17T14:48:54
rn:optimized:small,13,0.01,0.0,0.0,81.0,3588,222,0,4,5,0,0,0,2026-06-17T14:48:54
rn:optimized:small,14,0.01,0.0,0.0,90.0,3580,222,0,4,1,0,0,0,2026-06-17T14:48:54
rn:optimized:small,15,0.0,0.0,0.0,88.0,3636,223,0,4,1,0,0,0,2026-06-17T14:48:54
rn:optimized:small,16,0.01,0.0,0.0,81.0,3624,222,0,4,3,0,0,0,2026-06-17T14:48:54
rn:optimized:small,17,0.0,0.0,0.0,88.0,3756,224,0,4,3,0,0,0,2026-06-17T14:48:54
rn:optimized:small,18,0.0,0.0,0.0,88.0,3752,224,0,4,2,0,0,0,2026-06-17T14:48:54
rn:optimized:small,19,0.01,0.0,0.0,80.0,3752,224,0,4,1,0,0,0,2026-06-17T14:48:54
rn:optimized:medium,0,3.36,1.81,1.26,91.0,3784,123430,0,1793,1278,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,1,0.0,0.0,0.0,88.0,3628,226,0,4,7,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,2,0.01,0.0,0.0,80.0,3656,225,0,4,3,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,3,0.01,0.0,0.0,70.0,3532,223,0,4,3,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,4,0.0,0.0,0.0,100.0,3660,222,0,4,1,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,5,0.0,0.0,0.0,88.0,3684,225,0,4,2,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,6,0.0,0.0,0.0,77.0,3748,226,0,4,2,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,7,0.0,0.0,0.0,88.0,3748,227,0,4,1,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,8,0.01,0.0,0.0,80.0,3656,223,0,4,2,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,9,0.0,0.0,0.0,88.0,3588,223,0,4,2,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,10,0.0,0.0,0.0,77.0,3684,227,0,4,1,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,11,0.0,0.0,0.0,87.0,3632,225,0,4,1,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,12,0.0,0.0,0.0,100.0,3592,223,0,3,2,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,13,0.01,0.0,0.0,53.0,3588,221,0,4,7,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,14,0.01,0.0,0.0,53.0,3660,223,0,4,6,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,15,0.0,0.0,0.0,87.0,3752,226,0,4,1,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,16,0.0,0.0,0.0,88.0,3584,222,0,4,0,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,17,0.0,0.0,0.0,88.0,3676,226,0,4,2,0,0,0,2026-06-17T14:48:57
rn:optimized:medium,18,0.01,0.0,0.0,90.0,3588,222,0,4,3,0,0,0,2026-06-17T14:48:57
