cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
rn:original:small,0,2.97,1.5,0.99,84.0,3740,90378,0,1370,1528,0,0,0,2026-06-16T23:33:09
rn:original:small,1,0.03,0.0,0.0,47.0,3588,221,0,4,29,0,0,0,2026-06-16T23:33:09
rn:original:small,2,0.01,0.0,0.0,71.0,3752,225,0,4,9,0,0,0,2026-06-16T23:33:09
rn:original:small,3,0.02,0.0,0.0,54.0,3752,225,0,3,15,0,0,0,2026-06-16T23:33:09
rn:original:small,4,0.03,0.0,0.0,44.0,3720,223,0,4,19,0,0,0,2026-06-16T23:33:09
rn:original:small,5,0.01,0.0,0.0,64.0,3584,221,0,4,10,0,0,0,2026-06-16T23:33:09
rn:original:small,6,0.01,0.0,0.0,70.0,3620,223,0,3,9,0,0,0,2026-06-16T23:33:09
rn:original:small,7,0.01,0.0,0.0,71.0,3588,219,0,4,14,0,0,0,2026-06-16T23:33:09
rn:original:small,8,0.06,0.01,0.01,33.0,3720,223,0,4,25,0,0,0,2026-06-16T23:33:10
rn:original:small,9,0.02,0.01,0.0,54.0,3756,224,0,4,24,0,0,0,2026-06-16T23:33:10
rn:original:small,10,0.03,0.0,0.01,37.0,3656,225,0,4,8,0,0,0,2026-06-16T23:33:10
rn:original:small,11,0.03,0.0,0.01,50.0,3756,224,0,4,35,0,0,0,2026-06-16T23:33:10
rn:original:small,12,0.07,0.01,0.0,22.0,3648,222,0,4,26,0,0,0,2026-06-16T23:33:10
rn:original:small,13,0.02,0.0,0.0,42.0,3660,223,0,4,10,0,0,0,2026-06-16T23:33:10
rn:original:small,14,0.01,0.0,0.0,62.0,3720,223,0,4,9,0,0,0,2026-06-16T23:33:10
rn:original:small,15,0.02,0.0,0.0,45.0,3748,227,0,4,9,0,0,0,2026-06-16T23:33:10
rn:original:small,16,0.01,0.0,0.0,60.0,3720,223,0,4,4,0,0,0,2026-06-16T23:33:10
rn:original:small,17,0.02,0.0,0.0,70.0,3756,225,0,4,17,0,0,0,2026-06-16T23:33:10
rn:original:small,18,0.02,0.0,0.0,50.0,3632,226,0,4,12,0,0,0,2026-06-16T23:33:10
rn:original:small,19,0.01,0.0,0.0,90.0,3720,224,0,3,4,0,0,0,2026-06-16T23:33:10
rn:original:medium,0,6.61,3.47,1.79,79.0,3544,180738,0,2768,3846,0,0,0,2026-06-16T23:33:17
rn:original:medium,1,0.01,0.0,0.0,81.0,3584,224,0,4,5,0,0,0,2026-06-16T23:33:17
rn:original:medium,2,0.01,0.0,0.0,83.0,3584,224,0,4,6,0,0,0,2026-06-16T23:33:17
rn:original:medium,3,0.01,0.0,0.0,78.0,3720,223,0,4,11,0,0,0,2026-06-16T23:33:17
rn:original:medium,4,0.02,0.0,0.0,58.0,3756,226,0,3,20,0,0,0,2026-06-16T23:33:17
rn:original:medium,5,0.01,0.0,0.0,75.0,3584,223,0,4,17,0,0,0,2026-06-16T23:33:17
rn:original:medium,6,0.01,0.0,0.0,63.0,3716,223,0,4,27,0,0,0,2026-06-16T23:33:17
rn:original:medium,7,0.02,0.0,0.01,63.0,3716,227,0,4,19,0,0,0,2026-06-16T23:33:17
rn:original:medium,8,0.01,0.0,0.0,83.0,3584,223,0,3,11,0,0,0,2026-06-16T23:33:17
rn:original:medium,9,0.01,0.01,0.0,90.0,3628,225,0,3,9,0,0,0,2026-06-16T23:33:17
rn:original:medium,10,0.02,0.0,0.0,66.0,3636,226,0,4,21,0,0,0,2026-06-16T23:33:17
rn:original:medium,11,0.01,0.0,0.0,75.0,3680,225,0,4,10,0,0,0,2026-06-16T23:33:17
rn:original:medium,12,0.02,0.0,0.0,53.0,3444,225,0,4,17,0,0,0,2026-06-16T23:33:17
rn:original:medium,13,0.01,0.0,0.0,66.0,3576,222,0,3,9,0,0,0,2026-06-16T23:33:17
rn:original:medium,14,0.03,0.0,0.0,48.0,3752,226,0,4,21,0,0,0,2026-06-16T23:33:17
rn:original:medium,15,0.01,0.0,0.0,75.0,3652,224,0,3,4,0,0,0,2026-06-16T23:33:17
rn:original:medium,16,0.02,0.0,0.0,45.0,3712,225,0,3,16,0,0,0,2026-06-16T23:33:17
rn:original:medium,17,0.01,0.0,0.0,90.0,3584,223,0,4,3,0,0,0,2026-06-16T23:33:17
rn:original:medium,18,0.01,0.0,0.0,90.0,3656,223,0,3,6,0,0,0,2026-06-16T23:33:17
rn:original:medium,19,0.03,0.01,0.0,47.0,3644,226,0,3,21,0,0,0,2026-06-16T23:33:17
rn:original:large,0,8.37,3.01,1.56,54.0,3760,182324,0,2907,3805,0,0,0,2026-06-16T23:33:26
rn:original:large,1,0.04,0.0,0.0,27.0,3752,225,0,4,16,0,0,0,2026-06-16T23:33:26
rn:original:large,2,0.02,0.0,0.0,38.0,3720,222,0,4,8,0,0,0,2026-06-16T23:33:26
rn:original:large,3,0.04,0.0,0.0,20.0,3656,226,0,3,10,0,0,0,2026-06-16T23:33:26
