% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 86.63    0.000460          92         5           read
  7.91    0.000042          10         4           write
  1.51    0.000008           1         7           fstat
  1.13    0.000006           2         3         1 fcntl
  0.94    0.000005           5         1           dup2
  0.75    0.000004           1         3           lseek
  0.38    0.000002           0         7           close
  0.38    0.000002           0         5           rt_sigprocmask
  0.38    0.000002           0         3           prlimit64
  0.00    0.000000           0        14           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        14           rt_sigaction
  0.00    0.000000           0         3         3 ioctl
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         3         1 access
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         3           getuid
  0.00    0.000000           0         3           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         3           getegid
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         7           openat
  0.00    0.000000           0        14         3 newfstatat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000531           4       130         8 total
