% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 48.65    0.000415          83         5           read
 48.42    0.000413           2       183           write
  0.59    0.000005           0         7           fstat
  0.59    0.000005           5         1           dup2
  0.59    0.000005           1         3         1 fcntl
  0.47    0.000004           1         3           lseek
  0.23    0.000002           0         7           close
  0.23    0.000002           0         5           rt_sigprocmask
  0.23    0.000002           0         3           prlimit64
  0.00    0.000000           0        14           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        14           rt_sigaction
  0.00    0.000000           0         3         3 ioctl
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         3         1 access
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         3           getuid
  0.00    0.000000           0         3           getgid
  0.00    0.000000           0         3           geteuid
  0.00    0.000000           0         3           getegid
  0.00    0.000000           0         3           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         7           openat
  0.00    0.000000           0        14         3 newfstatat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000853           2       309         8 total
