% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 67.33    0.000443          88         5           read
  9.57    0.000063           9         7           close
  3.95    0.000026           1        14           mmap
  2.13    0.000014           7         2           write
  1.98    0.000013           1         7           openat
  1.82    0.000012           0        14         3 newfstatat
  1.67    0.000011           1         7           fstat
  1.67    0.000011           3         3         1 fcntl
  1.37    0.000009           2         4           mprotect
  1.37    0.000009           9         1           dup2
  1.22    0.000008           2         4           brk
  0.91    0.000006           2         3           lseek
  0.61    0.000004           4         1           munmap
  0.61    0.000004           0        14           rt_sigaction
  0.61    0.000004           1         3           prlimit64
  0.46    0.000003           0         5           rt_sigprocmask
  0.46    0.000003           1         3         1 access
  0.46    0.000003           3         1           arch_prctl
  0.30    0.000002           1         2           pread64
  0.15    0.000001           0         3           getpid
  0.15    0.000001           1         1           uname
  0.15    0.000001           0         3           getuid
  0.15    0.000001           0         3           getgid
  0.15    0.000001           0         3           geteuid
  0.15    0.000001           0         3           getegid
  0.15    0.000001           0         3           getppid
  0.15    0.000001           1         1           set_tid_address
  0.15    0.000001           1         1           set_robust_list
  0.15    0.000001           1         1           getrandom
  0.00    0.000000           0         3         3 ioctl
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000658           5       129         8 total
