% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.79    0.676749         338      1998       999 wait4
 21.87    0.247510         247       999           clone
  6.97    0.078858           7      9995           rt_sigprocmask
  4.77    0.054002          26      2004           read
  2.16    0.024394          12      2005           close
  1.81    0.020460           6      3011           rt_sigaction
  1.22    0.013805          13       999           pipe2
  1.08    0.012175          12       999           rt_sigreturn
  0.15    0.001730         123        14           mmap
  0.06    0.000726         103         7           openat
  0.03    0.000320         320         1           rseq
  0.03    0.000308         102         3         1 access
  0.02    0.000266          38         7           fstat
  0.01    0.000117          58         2           pread64
  0.01    0.000092          92         1           arch_prctl
  0.01    0.000078          78         1           set_robust_list
  0.01    0.000062          62         1           set_tid_address
  0.01    0.000059          14         4           mprotect
  0.00    0.000055          55         1           munmap
  0.00    0.000055           3        14         3 newfstatat
  0.00    0.000028           9         3         3 ioctl
  0.00    0.000023          11         2           write
  0.00    0.000017           4         4           brk
  0.00    0.000009           2         4           lseek
  0.00    0.000009           3         3           getuid
  0.00    0.000008           2         3           prlimit64
  0.00    0.000006           2         3           getpid
  0.00    0.000006           2         3           geteuid
  0.00    0.000006           2         3           getppid
  0.00    0.000005           5         1           dup2
  0.00    0.000005           1         3           getgid
  0.00    0.000005           1         3           getegid
  0.00    0.000004           1         3         1 fcntl
  0.00    0.000003           3         1           uname
  0.00    0.000003           3         1           futex
  0.00    0.000003           3         1           getrandom
  0.00    0.000002           2         1           getpgrp
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.131963          51     22109      1007 total
