cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
tree:optimized:d2w10,0,1.38,0.84,0.42,92.0,3588,49241,0,624,530,8,0,0,2026-06-17T15:00:08
tree:optimized:d2w10,1,1.38,0.84,0.44,93.0,3628,49485,0,616,536,0,0,0,2026-06-17T15:00:10
tree:optimized:d2w10,2,1.32,0.8,0.4,91.0,3872,49718,0,694,569,0,0,0,2026-06-17T15:00:11
tree:optimized:d2w10,3,1.36,0.84,0.41,92.0,3756,49462,0,646,536,0,0,0,2026-06-17T15:00:12
tree:optimized:d2w10,4,1.34,0.8,0.45,93.0,3688,49601,0,631,538,0,0,0,2026-06-17T15:00:14
tree:optimized:d2w10,5,1.35,0.87,0.4,94.0,3644,49252,0,639,517,0,0,0,2026-06-17T15:00:15
tree:optimized:d2w10,6,1.4,0.86,0.36,87.0,3760,49517,0,666,646,0,0,0,2026-06-17T15:00:17
tree:optimized:d2w10,7,1.03,0.75,0.16,88.0,3816,49532,0,900,659,0,0,0,2026-06-17T15:00:18
tree:optimized:d2w10,8,1.31,0.83,0.4,93.0,3872,49773,0,651,462,0,0,0,2026-06-17T15:00:19
tree:optimized:d2w10,9,1.27,0.83,0.4,96.0,3632,49493,0,627,478,0,0,0,2026-06-17T15:00:20
tree:optimized:d2w10,10,1.31,0.86,0.38,94.0,3628,49445,0,617,486,0,0,0,2026-06-17T15:00:22
tree:optimized:d2w10,11,1.38,0.85,0.44,94.0,3836,49335,0,632,524,0,0,0,2026-06-17T15:00:23
tree:optimized:d2w10,12,1.31,0.82,0.42,95.0,3628,49532,0,609,578,0,0,0,2026-06-17T15:00:24
tree:optimized:d2w10,13,1.29,0.8,0.43,95.0,3588,49162,1,623,493,0,0,0,2026-06-17T15:00:26
tree:optimized:d2w10,14,1.4,0.89,0.42,94.0,3632,49532,0,646,518,0,0,0,2026-06-17T15:00:27
tree:optimized:d2w10,15,1.33,0.83,0.45,96.0,3700,49493,0,621,518,0,0,0,2026-06-17T15:00:28
tree:optimized:d2w10,16,1.34,0.88,0.39,94.0,3744,49654,0,644,465,0,0,0,2026-06-17T15:00:30
