cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp
tree:original:d2w10,0,0.71,0.47,0.23,99.0,3648,28187,0,365,352,8,0,0,2026-06-17T14:56:28
tree:original:d2w10,1,0.7,0.49,0.23,102.0,3688,28379,0,351,337,0,0,0,2026-06-17T14:56:28
tree:original:d2w10,2,0.74,0.49,0.23,98.0,3588,28155,0,351,302,0,0,0,2026-06-17T14:56:29
tree:original:d2w10,3,0.73,0.48,0.24,99.0,3740,28571,1,356,378,0,0,0,2026-06-17T14:56:30
tree:original:d2w10,4,0.72,0.46,0.25,99.0,3684,28346,0,351,343,0,0,0,2026-06-17T14:56:31
tree:original:d2w10,5,0.71,0.47,0.24,100.0,3588,28184,1,351,304,0,0,0,2026-06-17T14:56:31
tree:original:d2w10,6,0.7,0.44,0.26,99.0,3644,28278,1,364,326,0,0,0,2026-06-17T14:56:32
tree:original:d2w10,7,0.7,0.45,0.26,101.0,3588,28268,0,346,298,0,0,0,2026-06-17T14:56:33
tree:original:d2w10,8,0.71,0.47,0.23,100.0,3672,28444,1,364,313,0,0,0,2026-06-17T14:56:34
tree:original:d2w10,9,0.73,0.49,0.22,98.0,3744,28458,0,362,328,0,0,0,2026-06-17T14:56:34
tree:original:d2w10,10,0.71,0.46,0.25,100.0,3680,28569,0,359,368,0,0,0,2026-06-17T14:56:35
tree:original:d2w10,11,0.74,0.49,0.23,97.0,3632,28443,0,358,317,0,0,0,2026-06-17T14:56:36
tree:original:d2w10,12,0.71,0.44,0.27,101.0,3632,28442,0,353,303,0,0,0,2026-06-17T14:56:36
tree:original:d2w10,13,0.72,0.47,0.24,99.0,3576,28469,0,348,342,0,0,0,2026-06-17T14:56:37
tree:original:d2w10,14,0.73,0.5,0.22,99.0,3648,28200,0,361,344,0,0,0,2026-06-17T14:56:38
tree:original:d2w10,15,0.74,0.44,0.27,97.0,3584,28210,0,347,290,0,0,0,2026-06-17T14:56:39
