cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,seed,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,0,5.12,0.29,0.14,8.0,44260,5980,0,1320,15,32,64,0,2026-05-14T10:26:08,java-monitor,5,5.0,10,50,10,50,5028.128,291,"[56, 55, 59, 61, 60]",22206.312,19217.998,61702.694,78078.042,118256.218,False,1,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,1,5.09,0.3,0.12,8.0,43096,5723,0,1293,20,0,64,0,2026-05-14T10:26:14,java-monitor,5,5.0,10,50,10,50,5012.808,288,"[54, 54, 62, 62, 56]",22779.414,19373.666,61066.397,104898.606,122710.3,False,1,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,0,5.09,0.26,0.09,6.0,44120,5988,0,1305,12,0,64,0,2026-05-14T10:26:19,java-monitor,5,5.0,10,50,10,50,5011.593,293,"[57, 60, 62, 56, 58]",21787.776,17230.023,62571.953,76037.068,127114.214,False,2,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,1,5.07,0.2,0.05,5.0,44248,6006,0,1360,13,0,64,0,2026-05-14T10:26:24,java-monitor,5,5.0,10,50,10,50,5014.836,299,"[59, 62, 63, 58, 57]",21040.311,16563.559,57128.24,100579.029,125493.201,False,2,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,0,5.09,0.25,0.1,7.0,44248,6002,0,1333,18,0,64,0,2026-05-14T10:26:29,java-monitor,5,5.0,10,50,10,50,5020.646,302,"[61, 63, 60, 56, 62]",20316.115,14622.751,56669.153,108771.017,202972.658,False,3,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 5 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,1,5.09,0.23,0.1,6.0,44688,6032,0,1357,14,0,64,0,2026-05-14T10:26:34,java-monitor,5,5.0,10,50,10,50,5013.329,300,"[61, 63, 57, 58, 61]",21379.741,17171.397,54966.389,99072.393,128429.061,False,3,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,0,5.1,0.35,0.15,9.0,44992,6174,0,2246,22,0,64,0,2026-05-14T10:26:39,java-monitor,10,5.0,10,50,10,50,5024.493,594,"[55, 58, 59, 63, 61, 59, 59, 60, 60, 60]",21072.618,18704.578,55392.31,90301.735,128610.856,False,1,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,1,5.08,0.34,0.18,10.0,45284,6293,0,2198,23,0,64,0,2026-05-14T10:26:44,java-monitor,10,5.0,10,50,10,50,5019.423,596,"[58, 57, 61, 61, 60, 59, 58, 64, 59, 59]",20425.883,15375.757,59208.467,95489.071,175418.842,False,1,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,0,5.14,0.44,0.2,12.0,45540,6324,0,2228,23,0,64,0,2026-05-14T10:26:49,java-monitor,10,5.0,10,50,10,50,5017.697,595,"[60, 62, 63, 59, 54, 63, 58, 60, 59, 57]",21142.43,16102.305,63292.17,99392.857,145057.958,False,2,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,1,5.11,0.34,0.15,9.0,45520,6356,0,2251,22,0,64,0,2026-05-14T10:26:54,java-monitor,10,5.0,10,50,10,50,5016.848,604,"[59, 62, 60, 59, 58, 63, 60, 60, 61, 62]",20704.638,17050.105,56553.196,83101.049,128808.736,False,2,1
