cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,test,rep_idx
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 1 --deadlock-window-ms 2000,0,10.02,0.0,0.05,0.0,1508,153,1,473,4,48,0,0,2026-05-15T11:53:11,c-pthreads-naive,5,10.0,0,0,50,200,10023.962,95,"[19, 0, 76, 0, 0]",0.589,0.5,1.125,1.625,1.625,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 2 --deadlock-window-ms 2000,0,2.74,0.0,0.01,0.0,1644,154,0,83,1,0,0,0,2026-05-15T11:53:14,c-pthreads-naive,5,10.0,0,0,50,200,2738.337,8,"[5, 0, 3, 0, 0]",0.745,0.75,1.0,1.0,1.0,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 3 --deadlock-window-ms 2000,0,10.16,0.01,0.07,0.0,1504,154,0,603,1,0,0,0,2026-05-15T11:53:24,c-pthreads-naive,5,10.0,0,0,50,200,10139.993,159,"[78, 0, 81, 0, 0]",0.567,0.459,1.25,1.459,3.792,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 4 --deadlock-window-ms 2000,0,10.12,0.0,0.05,0.0,1520,154,0,552,1,0,0,0,2026-05-15T11:53:34,c-pthreads-naive,5,10.0,0,0,50,200,10118.741,130,"[82, 0, 48, 0, 0]",0.646,0.583,1.209,1.417,1.5,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 5 --deadlock-window-ms 2000,0,2.55,0.0,0.01,0.0,1520,152,0,67,1,0,0,0,2026-05-15T11:53:37,c-pthreads-naive,5,10.0,0,0,50,200,2544.559,3,"[3, 0, 0, 0, 0]",1.139,1.209,1.334,1.334,1.334,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 6 --deadlock-window-ms 2000,0,9.51,0.01,0.05,0.0,1420,153,0,374,2,0,0,0,2026-05-15T11:53:46,c-pthreads-naive,5,10.0,0,0,50,200,9507.404,60,"[2, 0, 58, 0, 0]",0.882,0.875,1.292,1.5,1.5,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 7 --deadlock-window-ms 2000,0,4.33,0.0,0.02,0.0,1648,152,0,171,1,0,0,0,2026-05-15T11:53:51,c-pthreads-naive,5,10.0,0,0,50,200,4324.4,29,"[12, 0, 17, 0, 0]",0.773,0.583,1.834,3.375,3.375,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 8 --deadlock-window-ms 2000,0,10.13,0.01,0.05,0.0,1436,153,0,498,3,0,0,0,2026-05-15T11:54:01,c-pthreads-naive,5,10.0,0,0,50,200,10129.356,106,"[78, 0, 28, 0, 0]",0.902,0.916,1.5,1.583,1.583,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 9 --deadlock-window-ms 2000,0,10.11,0.0,0.05,0.0,1520,153,0,430,2,0,0,0,2026-05-15T11:54:11,c-pthreads-naive,5,10.0,0,0,50,200,10112.807,76,"[0, 7, 0, 50, 19]",35667.865,0.958,1.583,2710686.652,2710686.652,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 5 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 10 --deadlock-window-ms 2000,0,10.07,0.02,0.06,0.0,1520,155,0,579,2,0,0,0,2026-05-15T11:54:21,c-pthreads-naive,5,10.0,0,0,50,200,10071.292,147,"[76, 0, 71, 0, 0]",0.888,0.875,1.5,2.084,3.333,False,dp-deadlock,0
