cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,test,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,0,15.09,0.27,0.06,2.0,45060,6242,0,1233,12,0,64,0,2026-05-15T12:05:25,java-monitor,10,15.0,5,10,100,500,15018.55,232,"[30, 19, 24, 19, 23, 19, 29, 20, 30, 19]",310833.12,31.0,2575338.481,3549437.712,3561548.899,False,dp-starvation,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,1,15.09,0.23,0.09,2.0,44688,6161,0,1255,21,0,64,0,2026-05-15T12:05:40,java-monitor,10,15.0,5,10,100,500,15013.997,225,"[29, 19, 24, 20, 19, 22, 21, 25, 26, 20]",294128.644,32.583,1594343.997,2571650.732,2770542.81,False,dp-starvation,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,2,15.11,0.24,0.07,2.0,44828,6162,0,1253,14,0,64,0,2026-05-15T12:05:55,java-monitor,10,15.0,5,10,100,500,15017.918,230,"[18, 29, 17, 26, 14, 30, 15, 31, 19, 31]",324859.116,30.458,2408327.918,5004442.778,6023906.16,False,dp-starvation,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,0,15.1,0.22,0.1,2.0,45228,6239,0,1246,20,0,64,0,2026-05-15T12:06:10,java-semaphore,10,15.0,5,10,100,500,15019.807,109,"[11, 11, 10, 11, 11, 11, 11, 11, 11, 11]",994819.748,1013823.584,1714794.093,1863806.265,1918321.844,False,dp-starvation,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,1,15.09,0.23,0.07,2.0,45228,6180,0,1202,31,0,64,0,2026-05-15T12:06:25,java-semaphore,10,15.0,5,10,100,500,15020.703,100,"[10, 10, 10, 11, 10, 11, 10, 10, 9, 9]",1092566.485,1135668.428,1604471.061,1778949.146,1784578.819,False,dp-starvation,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningSemaphore --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,2,15.07,0.21,0.08,1.0,44076,4398,0,1240,22,0,64,0,2026-05-15T12:06:40,java-semaphore,10,15.0,5,10,100,500,15012.123,109,"[11, 11, 10, 11, 11, 11, 11, 11, 11, 11]",995199.947,1011395.083,1722962.693,1868692.819,1918367.433,False,dp-starvation,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningHierarchy --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,0,15.07,0.19,0.11,2.0,45008,6131,0,2044,14,0,64,0,2026-05-15T12:06:55,java-hierarchy,10,15.0,5,10,100,500,15017.487,142,"[11, 11, 10, 13, 12, 14, 14, 21, 25, 11]",702782.439,642958.719,1516180.395,1749120.44,1888571.099,False,dp-starvation,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningHierarchy --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,1,15.07,0.19,0.1,1.0,43344,5768,0,2009,22,0,64,0,2026-05-15T12:07:10,java-hierarchy,10,15.0,5,10,100,500,15021.39,142,"[11, 11, 10, 13, 12, 14, 14, 21, 25, 11]",702291.447,640459.007,1518380.451,1740039.579,1892667.075,False,dp-starvation,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningHierarchy --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,2,15.09,0.2,0.11,2.0,44992,6142,0,2106,10,0,64,0,2026-05-15T12:07:26,java-hierarchy,10,15.0,5,10,100,500,15022.377,149,"[11, 11, 11, 13, 12, 14, 18, 21, 27, 11]",680438.585,549396.703,1507746.021,1795972.842,1898980.851,False,dp-starvation,2
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_5 --N 10 --duration-sec 15 --think-min-ms 5 --think-max-ms 10 --eat-min-ms 100 --eat-max-ms 500 --seed 42 --deadlock-window-ms 5000,0,15.45,0.01,0.06,0.0,1512,166,0,716,5,0,0,0,2026-05-15T12:07:41,c-pthreads-monitor,10,15.0,5,10,100,500,15451.474,236,"[31, 16, 31, 18, 31, 17, 28, 17, 29, 18]",288681.024,2.667,1850353.353,2935216.651,3370180.886,False,dp-starvation,0
